"Statistic Label","Year","HSE Regions","Sex","Age Group","UNIT","VALUE"
"Percentage of Individuals","2022","West and North West","Male","55 - 59 years","%","6.3"
"Percentage of Individuals","2022","West and North West","Male","60 - 64 years","%","5.8"
"Percentage of Individuals","2022","West and North West","Male","65 - 69 years","%","5.4"
"Percentage of Individuals","2022","West and North West","Male","70 - 74 years","%","4.6"
"Percentage of Individuals","2022","West and North West","Male","75 - 79 years","%","3.4"
"Percentage of Individuals","2022","West and North West","Male","80 - 84 years","%","2.1"
"Percentage of Individuals","2022","West and North West","Male","85 years and over","%","1.5"
"Percentage of Individuals","2022","West and North West","Female","All ages","%","100"
"Percentage of Individuals","2022","West and North West","Female","0 - 4 years","%","5.5"
"Percentage of Individuals","2022","West and North West","Female","5 - 9 years","%","6.3"
"Percentage of Individuals","2022","West and North West","Female","10 - 14 years","%","7"
"Percentage of Individuals","2022","West and North West","Female","15 - 19 years","%","6.5"
"Percentage of Individuals","2022","West and North West","Female","20 - 24 years","%","5.8"
"Percentage of Individuals","2022","West and North West","Female","25 - 29 years","%","5.3"
"Percentage of Individuals","2022","West and North West","Female","30 - 34 years","%","5.8"
"Percentage of Individuals","2022","West and North West","Female","35 - 39 years","%","7.2"
"Percentage of Individuals","2022","West and North West","Female","40 - 44 years","%","7.8"
"Percentage of Individuals","2022","West and North West","Female","45 - 49 years","%","7.2"
"Percentage of Individuals","2022","West and North West","Female","50 - 54 years","%","6.7"
"Percentage of Individuals","2022","West and North West","Female","55 - 59 years","%","6.2"
"Percentage of Individuals","2022","West and North West","Female","60 - 64 years","%","5.6"
"Percentage of Individuals","2022","West and North West","Female","65 - 69 years","%","5"
"Percentage of Individuals","2022","West and North West","Female","70 - 74 years","%","4.4"
"Percentage of Individuals","2022","West and North West","Female","75 - 79 years","%","3.5"
"Percentage of Individuals","2022","West and North West","Female","80 - 84 years","%","2.2"
"Percentage of Individuals","2022","West and North West","Female","85 years and over","%","2.1"
