"time","Region","fitted"
38,"HSE Dublin and South East",2.47991081691516
38,"HSE Mid West",9.14579748332726
38,"HSE South West",5.36782859480057
38,"HSE West and North West",7.29528063726325
39,"HSE Dublin and Midlands",4.17872850657544
39,"HSE Dublin and North East",1.6480006107744
39,"HSE Dublin and South East",2.61999091341483
39,"HSE Mid West",8.70631372128807
39,"HSE South West",4.49261912675787
39,"HSE West and North West",6.19495937004002
40,"HSE Dublin and Midlands",4.11730010024214
40,"HSE Dublin and North East",1.99223247020239
40,"HSE Dublin and South East",3.4062074017743
40,"HSE Mid West",8.81230664488058
40,"HSE South West",5.03521955440569
40,"HSE West and North West",5.66084545060028
41,"HSE Dublin and Midlands",4.94671803367238
41,"HSE Dublin and North East",2.33667802494733
41,"HSE Dublin and South East",2.96155670095444
41,"HSE Mid West",9.35197093668268
41,"HSE South West",5.93411933312388
41,"HSE West and North West",5.72750880475742
42,"HSE Dublin and Midlands",4.90800711803893
42,"HSE Dublin and North East",2.3582613404738
42,"HSE Dublin and South East",2.97175254628064
42,"HSE Mid West",9.3183401590019
42,"HSE South West",5.26306280764725
42,"HSE West and North West",6.16875822916338
43,"HSE Dublin and Midlands",5.07889582248639
43,"HSE Dublin and North East",2.5570840636505
43,"HSE Dublin and South East",3.19158221902005
43,"HSE Mid West",8.42371798353633
43,"HSE South West",5.25908616619024
43,"HSE West and North West",6.10652602010838
44,"HSE Dublin and Midlands",4.31917448325882
44,"HSE Dublin and North East",2.30417586607311
44,"HSE Dublin and South East",3.08348947736418
44,"HSE Mid West",8.88993910938808
44,"HSE South West",4.89637896371707
44,"HSE West and North West",5.71440941133988
45,"HSE Dublin and Midlands",4.74198051637889
45,"HSE Dublin and North East",2.539063657127
45,"HSE Dublin and South East",3.36776930557863
45,"HSE Mid West",7.95165029724747
45,"HSE South West",5.24417343880675
45,"HSE West and North West",5.85263008082477
46,"HSE Dublin and Midlands",5.40927982951345
46,"HSE Dublin and North East",2.83305037939177
46,"HSE Dublin and South East",3.24175327139077
46,"HSE Mid West",7.23919813657852
46,"HSE South West",5.70464678840155
46,"HSE West and North West",6.01683861312515
47,"HSE Dublin and Midlands",5.8977021212344
47,"HSE Dublin and North East",2.90208094222597
47,"HSE Dublin and South East",3.80654747856682
47,"HSE Mid West",8.11116317917307
47,"HSE South West",5.67110815406963
47,"HSE West and North West",6.57183898495572
48,"HSE Dublin and Midlands",5.42241046937347
48,"HSE Dublin and North East",3.00164885535767
48,"HSE Dublin and South East",3.70883222972946
48,"HSE Mid West",9.06487634233085
48,"HSE South West",5.9365665232904
48,"HSE West and North West",7.00459628672212
49,"HSE Dublin and Midlands",4.55875467705694
49,"HSE Dublin and North East",2.87002441690835
49,"HSE Dublin and South East",3.53986624548078
49,"HSE Mid West",8.53370401736695
49,"HSE South West",5.17233442134574
49,"HSE West and North West",5.54181321534116
50,"HSE Dublin and Midlands",4.5009309036591
50,"HSE Dublin and North East",2.60705285720167
50,"HSE Dublin and South East",3.94534836318743
50,"HSE Mid West",8.1478833598333
50,"HSE South West",5.84755526207835
50,"HSE West and North West",5.62511673639274
51,"HSE Dublin and Midlands",6.00204463875313
51,"HSE Dublin and North East",3.10799306345134
