Region,time,residual
HSE Dublin and Midlands,26,0.6293
HSE Dublin and North East,26,-0.0601
HSE Dublin and South East,26,-0.4199
HSE Mid West,26,0.2142
HSE South West,26,0.0425
HSE West and North West,26,1.1883
HSE Dublin and Midlands,27,1.1523
HSE Dublin and North East,27,-0.8026
HSE Dublin and South East,27,-0.2558
HSE Mid West,27,1.3106
HSE South West,27,-0.97
HSE West and North West,27,-1.3456
HSE Dublin and Midlands,28,0.8106
HSE Dublin and North East,28,-0.669
HSE Dublin and South East,28,0.58
HSE Mid West,28,-0.0969
HSE South West,28,-0.942
HSE West and North West,28,-1.6541
HSE Dublin and Midlands,29,0.415
HSE Dublin and North East,29,-0.0422
HSE Dublin and South East,29,-0.2288
HSE Mid West,29,-0.0327
HSE South West,29,0.7992
HSE West and North West,29,0.7721
HSE Dublin and Midlands,30,-1.5242
HSE Dublin and North East,30,-0.2111
HSE Dublin and South East,30,-0.0858
HSE Mid West,30,0.1226
HSE South West,30,0.2798
HSE West and North West,30,-0.0903
HSE Dublin and Midlands,31,-0.0007
HSE Dublin and North East,31,-0.4601
HSE Dublin and South East,31,0.7912
HSE Mid West,31,0.904
HSE South West,31,0.7974
HSE West and North West,31,0.242
HSE Dublin and Midlands,32,-0.1048
HSE Dublin and North East,32,-0.4414
HSE Dublin and South East,32,0.1828
HSE Mid West,32,-0.686
HSE South West,32,0.2461
HSE West and North West,32,0.8305
HSE Dublin and Midlands,33,-0.0374
HSE Dublin and North East,33,0.8817
HSE Dublin and South East,33,-0.1427
HSE Mid West,33,-0.1239
HSE South West,33,-1.5543
HSE West and North West,33,1.3189
HSE Dublin and Midlands,34,1.2978
HSE Dublin and North East,34,0.1466
HSE Dublin and South East,34,0.0237
HSE Mid West,34,-0.669
HSE South West,34,0.8039
HSE West and North West,34,-0.3288
HSE Dublin and Midlands,35,-0.078
HSE Dublin and North East,35,-0.1714
HSE Dublin and South East,35,0.1353
HSE Mid West,35,0.2077
HSE South West,35,2.0375
HSE West and North West,35,-0.0223
HSE Dublin and Midlands,36,0.5041
HSE Dublin and North East,36,-0.4484
HSE Dublin and South East,36,-0.4335
HSE Mid West,36,0.9522
HSE South West,36,1.9573
HSE West and North West,36,0.6216
HSE Dublin and Midlands,37,1.2049
HSE Dublin and North East,37,0.0422
HSE Dublin and South East,37,-0.1025
HSE Mid West,37,1.7237
HSE South West,37,0.345
HSE West and North West,37,1.5444
HSE Dublin and Midlands,38,0.5972
HSE Dublin and North East,38,-0.3252
HSE Dublin and South East,38,-0.0087
HSE Mid West,38,0.3789
HSE South West,38,-0.5362
HSE West and North West,38,-0.7845
HSE Dublin and Midlands,39,0.4892
HSE Dublin and North East,39,0.2228
HSE Dublin and South East,39,1.016
HSE Mid West,39,0.9409
HSE South West,39,0.9629
HSE West and North West,39,-0.6637
HSE Dublin and Midlands,40,1.7433
HSE Dublin and North East,40,0.4005
HSE Dublin and South East,40,-0.3731
HSE Mid West,40,1.691
HSE South West,40,1.7958
HSE West and North West,40,-0.117
HSE Dublin and Midlands,41,0.9203
HSE Dublin and North East,41,0.0887
HSE Dublin and South East,41,-0.0265
HSE Mid West,41,1.1985
HSE South West,41,-0.0514
HSE West and North West,41,0.4838
HSE Dublin and Midlands,42,1.1488
HSE Dublin and North East,42,0.3201
HSE Dublin and South East,42,0.252
HSE Mid West,42,-0.1163
HSE South West,42,0.448
HSE West and North West,42,0.0014
HSE Dublin and Midlands,43,-0.2133
HSE Dublin and North East,43,-0.2822
HSE Dublin and South East,43,-0.1426
HSE Mid West,43,1.356
HSE South West,43,-0.1606
HSE West and North West,43,-0.5549
HSE Dublin and Midlands,44,1.0047
HSE Dublin and North East,44,0.2402
HSE Dublin and South East,44,0.3383
HSE Mid West,44,-0.4618
HSE South West,44,0.6153
HSE West and North West,44,-0.0293
HSE Dublin and Midlands,45,1.5866
HSE Dublin and North East,45,0.4399
HSE Dublin and South East,45,-0.1329
HSE Mid West,45,-0.7495
HSE South West,45,0.9622
HSE West and North West,45,0.083
HSE Dublin and Midlands,46,1.6897
HSE Dublin and North East,46,0.252
HSE Dublin and South East,46,0.7947
HSE Mid West,46,1.1646
HSE South West,46,0.4701
HSE West and North West,46,0.7638
HSE Dublin and Midlands,47,0.4862
HSE Dublin and North East,47,0.3053
HSE Dublin and South East,47,0.1357
HSE Mid West,47,1.8499
HSE South West,47,0.8567
HSE West and North West,47,0.9261
HSE Dublin and Midlands,48,-0.4843
HSE Dublin and North East,48,-0.0131
HSE Dublin and South East,48,-0.0635
HSE Mid West,48,0.2112
HSE South West,48,-0.5641
HSE West and North West,48,-1.6793
HSE Dublin and Midlands,49,0.0989
HSE Dublin and North East,49,-0.3289
HSE Dublin and South East,49,0.6728
HSE Mid West,49,0.05
HSE South West,49,1.0777
HSE West and North West,49,-0.3322
HSE Dublin and Midlands,50,2.3619
HSE Dublin and North East,50,0.6292
HSE Dublin and South East,50,-0.2226
HSE Mid West,50,1.6507
HSE South West,50,-0.6377
HSE West and North West,50,2.5158
HSE Dublin and Midlands,51,1.09
HSE Dublin and North East,51,-0.1656
HSE Dublin and South East,51,0.4534
HSE Mid West,51,1.4858
HSE South West,51,1.6571
HSE West and North West,51,1.807
HSE Dublin and Midlands,52,-3.0507
HSE Dublin and North East,52,-1.7615
HSE Dublin and South East,52,-1.0458
HSE Mid West,52,-3.2029
HSE South West,52,-2.643
HSE West and North West,52,-2.7437
HSE Dublin and Midlands,53,-2.2643
HSE Dublin and North East,53,-1.5524
HSE Dublin and South East,53,-2.0436
HSE Mid West,53,-3.7802
HSE South West,53,-2.0532
HSE West and North West,53,-3.4503
HSE Dublin and Midlands,54,1.5294
HSE Dublin and North East,54,0.768
HSE Dublin and South East,54,-0.3549
HSE Mid West,54,2.1419
HSE South West,54,3.5523
HSE West and North West,54,3.6562
HSE Dublin and Midlands,55,-0.3106
HSE Dublin and North East,55,0.7003
HSE Dublin and South East,55,0.2761
HSE Mid West,55,0.3299
HSE South West,55,0.4331
HSE West and North West,55,-0.646
HSE Dublin and Midlands,56,0.2214
HSE Dublin and North East,56,0.1688
HSE Dublin and South East,56,0.1191
HSE Mid West,56,0.9073
HSE South West,56,1.6652
HSE West and North West,56,-0.8651
HSE Dublin and Midlands,57,0.637
HSE Dublin and North East,57,-0.009
HSE Dublin and South East,57,-0.2851
HSE Mid West,57,1.8505
HSE South West,57,1.0546
HSE West and North West,57,0.9826
HSE Dublin and Midlands,58,-0.9699
HSE Dublin and North East,58,-0.1081
HSE Dublin and South East,58,0.2051
HSE Mid West,58,1.585
HSE South West,58,-1.6128
HSE West and North West,58,-0.4595
HSE Dublin and Midlands,59,0.4635
HSE Dublin and North East,59,0.6576
HSE Dublin and South East,59,0.9936
HSE Mid West,59,2.5006
HSE South West,59,-0.5415
HSE West and North West,59,0.4747
HSE Dublin and Midlands,60,-0.8632
HSE Dublin and North East,60,-0.4951
HSE Dublin and South East,60,0.2905
HSE Mid West,60,-0.3045
HSE South West,60,-0.6164
HSE West and North West,60,1.1238
HSE Dublin and Midlands,61,0.3995
HSE Dublin and North East,61,0.6933
HSE Dublin and South East,61,-0.9161
HSE Mid West,61,0.0744
HSE South West,61,-0.8699
HSE West and North West,61,-0.9164
HSE Dublin and Midlands,62,0.4342
HSE Dublin and North East,62,-0.5719
HSE Dublin and South East,62,-0.0006
HSE Mid West,62,1.2709
HSE South West,62,0.7033
HSE West and North West,62,-1.4943
HSE Dublin and Midlands,63,-0.0965
HSE Dublin and North East,63,-0.119
HSE Dublin and South East,63,0.08
HSE Mid West,63,0.2201
HSE South West,63,-1.042
HSE West and North West,63,-1.417
HSE Dublin and Midlands,64,0.2028
HSE Dublin and North East,64,0.6778
HSE Dublin and South East,64,0.4872
HSE Mid West,64,-0.2227
HSE South West,64,0.673
HSE West and North West,64,-0.9527
HSE Dublin and Midlands,65,-0.7152
HSE Dublin and North East,65,-0.0596
HSE Dublin and South East,65,-0.54
HSE Mid West,65,1.4182
HSE South West,65,0.496
HSE West and North West,65,0.3414
HSE Dublin and Midlands,66,0.2833
HSE Dublin and North East,66,-0.2951
HSE Dublin and South East,66,0.4158
HSE Mid West,66,0.7864
HSE South West,66,-1.1162
HSE West and North West,66,-1.1385
HSE Dublin and Midlands,67,0.312
HSE Dublin and North East,67,-0.0891
HSE Dublin and South East,67,0.8303
HSE Mid West,67,-0.7869
HSE South West,67,1.3874
HSE West and North West,67,1.1633
HSE Dublin and Midlands,68,0.5105
HSE Dublin and North East,68,0.6797
HSE Dublin and South East,68,-0.0479
HSE Mid West,68,-0.2245
HSE South West,68,0.5891
HSE West and North West,68,1.8784
HSE Dublin and Midlands,69,-0.1584
HSE Dublin and North East,69,0.4155
HSE Dublin and South East,69,0.5883
HSE Mid West,69,1.1504
HSE South West,69,-1.5449
HSE West and North West,69,-1.5899
HSE Dublin and Midlands,70,-0.9539
HSE Dublin and North East,70,0.3349
HSE Dublin and South East,70,0.06
HSE Mid West,70,0.7917
HSE South West,70,0.1822
HSE West and North West,70,-2.2483
HSE Dublin and Midlands,71,-0.1747
HSE Dublin and North East,71,-0.3099
HSE Dublin and South East,71,-0.1852
HSE Mid West,71,-1.5774
HSE South West,71,1.234
HSE West and North West,71,-1.1667
HSE Dublin and Midlands,72,-0.6715
HSE Dublin and North East,72,0.4779
HSE Dublin and South East,72,-0.2506
HSE Mid West,72,-0.616
HSE South West,72,-2.1467
HSE West and North West,72,0.296
HSE Dublin and Midlands,73,0.9608
HSE Dublin and North East,73,0.7225
HSE Dublin and South East,73,-0.3768
HSE Mid West,73,2.3511
HSE South West,73,-0.4454
HSE West and North West,73,0.7147
HSE Dublin and Midlands,74,-0.3659
HSE Dublin and North East,74,0.932
HSE Dublin and South East,74,-0.1094
HSE Mid West,74,0.9338
HSE South West,74,1.1118
HSE West and North West,74,-2.8145
HSE Dublin and Midlands,75,0.8204
HSE Dublin and North East,75,-0.5878
HSE Dublin and South East,75,-0.6362
HSE Mid West,75,0.5072
HSE South West,75,0.0916
HSE West and North West,75,0.048
HSE Dublin and Midlands,76,0.1878
HSE Dublin and North East,76,0.4258
HSE Dublin and South East,76,0.2438
HSE Mid West,76,-1.93
HSE South West,76,1.43
HSE West and North West,76,-0.5259
HSE Dublin and Midlands,77,-0.0684
HSE Dublin and North East,77,0.776
HSE Dublin and South East,77,0.0448
HSE Mid West,77,-0.6274
HSE South West,77,0.3574
HSE West and North West,77,2.0245
HSE Dublin and Midlands,78,-0.3012
HSE Dublin and North East,78,0.4608
HSE Dublin and South East,78,0.072
HSE Mid West,78,-0.9844
HSE South West,78,-0.2483
HSE West and North West,78,-0.7174
HSE Dublin and Midlands,79,-0.2394
HSE Dublin and North East,79,0.7144
HSE Dublin and South East,79,0.3811
HSE Mid West,79,1.2938
HSE South West,79,-0.4735
HSE West and North West,79,-0.1925
HSE Dublin and Midlands,80,-0.8228
HSE Dublin and North East,80,0.0212
HSE Dublin and South East,80,-0.4314
HSE Mid West,80,0.5422
HSE South West,80,0.085
HSE West and North West,80,-1.6291
HSE Dublin and Midlands,81,-0.2844
HSE Dublin and North East,81,-0.6103
HSE Dublin and South East,81,0.2539
HSE Mid West,81,2.5323
HSE South West,81,1.0042
HSE West and North West,81,0.4991
HSE Dublin and Midlands,82,0.3789
HSE Dublin and North East,82,0.1634
HSE Dublin and South East,82,-0.6829
HSE Mid West,82,-0.4415
HSE South West,82,-0.2329
HSE West and North West,82,0.2238
HSE Dublin and Midlands,83,0.4762
HSE Dublin and North East,83,0.0683
HSE Dublin and South East,83,-0.3466
HSE Mid West,83,-1.0543
HSE South West,83,0.5317
HSE West and North West,83,-0.1658
HSE Dublin and Midlands,84,-0.1136
HSE Dublin and North East,84,0.0952
HSE Dublin and South East,84,-0.1111
HSE Mid West,84,-0.1264
HSE South West,84,-1.8183
HSE West and North West,84,-0.2443
HSE Dublin and Midlands,85,-0.0049
HSE Dublin and North East,85,0.1006
HSE Dublin and South East,85,0.192
HSE Mid West,85,1.2709
HSE South West,85,0.3696
HSE West and North West,85,-0.277
HSE Dublin and Midlands,86,-0.0143
HSE Dublin and North East,86,-0.5075
HSE Dublin and South East,86,-0.4587
HSE Mid West,86,-4.5471
HSE South West,86,-0.3523
HSE West and North West,86,-0.6755
HSE Dublin and Midlands,87,-0.592
HSE Dublin and North East,87,0.3384
HSE Dublin and South East,87,0.3907
HSE Mid West,87,-5.5656
HSE South West,87,-1.0277
HSE West and North West,87,-0.7648
HSE Dublin and Midlands,88,0.6169
HSE Dublin and North East,88,0.3046
HSE Dublin and South East,88,0.0877
HSE Mid West,88,-0.8363
HSE South West,88,-0.4546
HSE West and North West,88,-0.3562
HSE Dublin and Midlands,89,-0.4695
HSE Dublin and North East,89,0.4101
HSE Dublin and South East,89,0.0699
HSE Mid West,89,0.0959
HSE South West,89,-0.4401
HSE West and North West,89,-0.5567
HSE Dublin and Midlands,90,-0.9102
HSE Dublin and North East,90,0.1344
HSE Dublin and South East,90,0.7886
HSE Mid West,90,0.0687
HSE South West,90,1.4853
HSE West and North West,90,0.1537
HSE Dublin and Midlands,91,0.761
HSE Dublin and North East,91,0.078
HSE Dublin and South East,91,0.1645
HSE Mid West,91,0.1277
HSE South West,91,0.2416
HSE West and North West,91,1.0334
HSE Dublin and Midlands,92,0.0396
HSE Dublin and North East,92,0.6642
HSE Dublin and South East,92,-0.0375
HSE Mid West,92,0.6378
HSE South West,92,-0.2126
HSE West and North West,92,0.6965
HSE Dublin and Midlands,93,0.5834
HSE Dublin and North East,93,0.8516
HSE Dublin and South East,93,0.6417
HSE Mid West,93,1.9203
HSE South West,93,1.0918
HSE West and North West,93,0.2471
HSE Dublin and Midlands,94,0.5831
HSE Dublin and North East,94,-0.3073
HSE Dublin and South East,94,0.045
HSE Mid West,94,0.3126
HSE South West,94,-1.0873
HSE West and North West,94,-0.3122
HSE Dublin and Midlands,95,-0.6779
HSE Dublin and North East,95,0.2263
HSE Dublin and South East,95,0.2039
HSE Mid West,95,-0.0269
HSE South West,95,-1.0529
HSE West and North West,95,-0.3985
HSE Dublin and Midlands,96,-0.2003
HSE Dublin and North East,96,-0.063
HSE Dublin and South East,96,-0.8853
HSE Mid West,96,-1.0808
HSE South West,96,-0.9481
HSE West and North West,96,-0.5335
HSE Dublin and Midlands,97,-0.35
HSE Dublin and North East,97,0.3578
HSE Dublin and South East,97,-0.5118
HSE Mid West,97,2.1313
HSE South West,97,-0.6013
HSE West and North West,97,-0.82
HSE Dublin and Midlands,98,0.0563
HSE Dublin and North East,98,0.4351
HSE Dublin and South East,98,0.7633
HSE Mid West,98,2.6939
HSE South West,98,1.0935
HSE West and North West,98,1.0175
HSE Dublin and Midlands,99,0.2032
HSE Dublin and North East,99,-0.2963
HSE Dublin and South East,99,-0.5157
HSE Mid West,99,0.3037
HSE South West,99,-1.6096
HSE West and North West,99,0.3901
HSE Dublin and Midlands,100,-0.343
HSE Dublin and North East,100,0.6555
HSE Dublin and South East,100,0.0415
HSE Mid West,100,1.2174
HSE South West,100,-0.518
HSE West and North West,100,-0.1656
HSE Dublin and Midlands,101,0.8092
HSE Dublin and North East,101,1.0805
HSE Dublin and South East,101,1.0597
HSE Mid West,101,-0.023
HSE South West,101,0.9643
HSE West and North West,101,-0.3267
HSE Dublin and Midlands,102,-0.2154
HSE Dublin and North East,102,0.3532
HSE Dublin and South East,102,0.3659
HSE Mid West,102,2.1779
HSE South West,102,-0.6676
HSE West and North West,102,-0.3722
HSE Dublin and Midlands,103,0.6642
HSE Dublin and North East,103,0.3053
HSE Dublin and South East,103,-0.0047
HSE Mid West,103,-0.2941
HSE South West,103,-1.0593
HSE West and North West,103,-0.0974
HSE Dublin and Midlands,104,0.0592
HSE Dublin and North East,104,-0.2453
HSE Dublin and South East,104,-1.4217
HSE Mid West,104,1.9749
HSE South West,104,0.6572
HSE West and North West,104,-0.5847
HSE Dublin and Midlands,105,-3.0135
HSE Dublin and North East,105,-1.7454
HSE Dublin and South East,105,-1.6934
HSE Mid West,105,-4.0639
HSE South West,105,-3.1695
HSE West and North West,105,-3.0995
HSE Dublin and Midlands,106,1.1373
HSE Dublin and North East,106,-0.0422
HSE Dublin and South East,106,1.4351
HSE Mid West,106,4.4158
HSE South West,106,2.1148
HSE West and North West,106,3.0126
HSE Dublin and Midlands,107,1.2534
HSE Dublin and North East,107,1.0006
HSE Dublin and South East,107,0.0286
HSE Mid West,107,2.4268
HSE South West,107,2.0954
HSE West and North West,107,1.2385
HSE Dublin and Midlands,108,-0.6161
HSE Dublin and North East,108,0.1858
HSE Dublin and South East,108,0.2301
HSE Mid West,108,1.118
HSE South West,108,0.7531
HSE West and North West,108,0.9798
HSE Dublin and Midlands,109,-0.9539
HSE Dublin and North East,109,0.5034
HSE Dublin and South East,109,1.5241
HSE Mid West,109,-1.2196
HSE South West,109,0.3747
HSE West and North West,109,1.088
HSE Dublin and Midlands,110,0.3436
HSE Dublin and North East,110,0.9229
HSE Dublin and South East,110,-0.4398
HSE Mid West,110,1.2153
HSE South West,110,0.5245
HSE West and North West,110,2.0905
HSE Dublin and Midlands,111,-0.5133
HSE Dublin and North East,111,1.0467
HSE Dublin and South East,111,0.6358
HSE Mid West,111,0.3292
HSE South West,111,-0.7818
HSE West and North West,111,1.5444
HSE Dublin and Midlands,112,0.1752
HSE Dublin and North East,112,0.1001
HSE Dublin and South East,112,-1.2973
HSE Mid West,112,-0.3201
HSE South West,112,-0.6637
HSE West and North West,112,-1.0759
HSE Dublin and Midlands,113,-0.0515
HSE Dublin and North East,113,0.4615
HSE Dublin and South East,113,0.7019
HSE Mid West,113,2.0152
HSE South West,113,0.0554
HSE West and North West,113,0.5754
HSE Dublin and Midlands,114,-0.0468
HSE Dublin and North East,114,-0.655
HSE Dublin and South East,114,-0.7392
HSE Mid West,114,0.4822
HSE South West,114,0.1358
HSE West and North West,114,1.4592
HSE Dublin and Midlands,115,-0.9451
HSE Dublin and North East,115,-0.7658
HSE Dublin and South East,115,0.1884
HSE Mid West,115,-0.4081
HSE South West,115,-1.1803
HSE West and North West,115,-0.9946
HSE Dublin and Midlands,116,-0.9051
HSE Dublin and North East,116,-0.169
HSE Dublin and South East,116,-0.7332
HSE Mid West,116,-0.8182
HSE South West,116,-1.8588
HSE West and North West,116,-0.3466
HSE Dublin and Midlands,117,-1.0949
HSE Dublin and North East,117,-1.0545
HSE Dublin and South East,117,-0.6631
HSE Mid West,117,-1.9088
HSE South West,117,0.7089
HSE West and North West,117,-2.3013
HSE Dublin and Midlands,118,-0.0645
HSE Dublin and North East,118,0.9807
HSE Dublin and South East,118,-1.0314
HSE Mid West,118,2.03
HSE South West,118,0.6748
HSE West and North West,118,0.719
HSE Dublin and Midlands,119,-1.3735
HSE Dublin and North East,119,0.6137
HSE Dublin and South East,119,-0.4116
HSE Mid West,119,-1.298
HSE South West,119,-0.4282
HSE West and North West,119,-1.2017
HSE Dublin and Midlands,120,0.0815
HSE Dublin and North East,120,-1.1993
HSE Dublin and South East,120,-0.4775
HSE Mid West,120,-0.5359
HSE South West,120,-1.8284
HSE West and North West,120,-1.1901
HSE Dublin and Midlands,121,0.2351
HSE Dublin and North East,121,0.6049
HSE Dublin and South East,121,-0.4693
HSE Mid West,121,0.6606
HSE South West,121,-0.8086
HSE West and North West,121,-0.5631
HSE Dublin and Midlands,122,-0.1763
HSE Dublin and North East,122,-0.9562
HSE Dublin and South East,122,-0.1813
HSE Mid West,122,0.8888
HSE South West,122,-0.3911
HSE West and North West,122,-0.012
HSE Dublin and Midlands,123,-1.5157
HSE Dublin and North East,123,-0.2445
HSE Dublin and South East,123,-0.4611
HSE Mid West,123,-0.8108
HSE South West,123,-1.0999
HSE West and North West,123,-1.3393
HSE Dublin and Midlands,124,-0.6931
HSE Dublin and North East,124,-0.3971
HSE Dublin and South East,124,-0.1244
HSE Mid West,124,-0.0298
HSE South West,124,-0.1958
HSE West and North West,124,0.0171
HSE Dublin and Midlands,125,-0.3368
HSE Dublin and North East,125,-0.4753
HSE Dublin and South East,125,-0.4051
HSE Mid West,125,0.6756
HSE South West,125,-0.7936
HSE West and North West,125,0.4055
HSE Dublin and Midlands,126,-0.0791
HSE Dublin and North East,126,0.1589
HSE Dublin and South East,126,0.279
HSE Mid West,126,-0.4582
HSE South West,126,-0.7535
HSE West and North West,126,-1.6604
HSE Dublin and Midlands,127,-0.537
HSE Dublin and North East,127,0.2092
HSE Dublin and South East,127,-0.2999
HSE Mid West,127,-0.0809
HSE South West,127,-1.2593
HSE West and North West,127,0.3873
HSE Dublin and Midlands,128,-1.4376
HSE Dublin and North East,128,0.1718
HSE Dublin and South East,128,0.0249
HSE Mid West,128,-0.3706
HSE South West,128,-0.3637
HSE West and North West,128,0.0964
HSE Dublin and Midlands,129,-0.1463
HSE Dublin and North East,129,-0.0632
HSE Dublin and South East,129,-0.7403
HSE Mid West,129,0.378
HSE South West,129,-0.9942
HSE West and North West,129,0.2306
HSE Dublin and Midlands,130,0.9109
HSE Dublin and North East,130,-0.1396
HSE Dublin and South East,130,-0.1284
HSE Mid West,130,-1.9739
HSE South West,130,-0.0698
HSE West and North West,130,-0.4358
HSE Dublin and Midlands,131,-0.7807
HSE Dublin and North East,131,-0.3243
HSE Dublin and South East,131,-0.1931
HSE Mid West,131,2.3013
HSE South West,131,0.4942
HSE West and North West,131,0.3698
HSE Dublin and Midlands,132,-0.3053
HSE Dublin and North East,132,0.1808
HSE Dublin and South East,132,-0.3334
HSE Mid West,132,-0.1164
HSE South West,132,-0.5006
HSE West and North West,132,-0.6965
HSE Dublin and Midlands,133,-1.1163
HSE Dublin and North East,133,-0.0937
HSE Dublin and South East,133,0.0584
HSE Mid West,133,-1.9482
HSE South West,133,0.1192
HSE West and North West,133,-1.2421
HSE Dublin and Midlands,134,-0.3515
HSE Dublin and North East,134,-0.0176
HSE Dublin and South East,134,0.2704
HSE Mid West,134,0.5047
HSE South West,134,-0.9568
HSE West and North West,134,1.8186
HSE Dublin and Midlands,135,-0.6352
HSE Dublin and North East,135,0.1318
HSE Dublin and South East,135,-0.2718
HSE Mid West,135,0.7034
HSE South West,135,0.2996
HSE West and North West,135,0.5117
HSE Dublin and Midlands,136,-0.3234
HSE Dublin and North East,136,-0.7125
HSE Dublin and South East,136,-0.3667
HSE Mid West,136,1.1411
HSE South West,136,-0.2507
HSE West and North West,136,0.2928
HSE Dublin and Midlands,137,-0.5869
HSE Dublin and North East,137,0.0707
HSE Dublin and South East,137,-0.1434
HSE Mid West,137,-1.959
HSE South West,137,-1.0688
HSE West and North West,137,-0.4245
HSE Dublin and Midlands,138,0.164
HSE Dublin and North East,138,0.3648
HSE Dublin and South East,138,0.1279
HSE Mid West,138,-1.6371
HSE South West,138,0.0188
HSE West and North West,138,1.707
