"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-01-09,Portiuncula University Hospital,HSE West and North West,13,38,51,76,40,5,0,7
2023-01-09,Sligo University Hospital,HSE West and North West,51,50,101,60,80,39,0,7
2023-01-16,CHI at Crumlin,HSE Dublin and Midlands,53,0,53,9,14,0,0,7
2023-01-16,CHI at Tallaght,HSE Dublin and Midlands,5,0,5,0,0,0,0,7
2023-01-16,CHI at Temple Street,HSE Dublin and Midlands,59,0,59,0,14,8,0,7
2023-01-16,MRH Mullingar,HSE Dublin and Midlands,62,0,62,12,0,4,0,7
2023-01-16,MRH Portlaoise,HSE Dublin and Midlands,10,0,10,5,60,0,0,7
2023-01-16,MRH Tullamore,HSE Dublin and Midlands,0,0,0,33,32,0,0,7
2023-01-16,Naas General Hospital,HSE Dublin and Midlands,79,20,99,56,96,14,0,7
2023-01-16,St. James's Hospital,HSE Dublin and Midlands,123,0,123,0,431,7,0,7
2023-01-16,Tallaght University Hospital,HSE Dublin and Midlands,159,0,159,62,320,38,0,7
2023-01-16,Beaumont Hospital,HSE Dublin and North East,68,0,68,52,141,0,0,7
2023-01-16,Cavan General Hospital,HSE Dublin and North East,10,5,15,20,27,0,0,7
2023-01-16,Connolly Hospital,HSE Dublin and North East,0,0,0,144,51,0,0,7
2023-01-16,Mater Misericordiae University Hospital,HSE Dublin and North East,141,0,141,0,267,40,0,7
2023-01-16,Our Lady of Lourdes Hospital,HSE Dublin and North East,42,8,50,102,218,0,0,7
2023-01-16,Our Lady's Hospital Navan,HSE Dublin and North East,14,0,14,113,55,0,0,7
2023-01-16,St Luke's General Hospital Kilkenny,HSE Dublin and South East,88,32,120,170,83,57,0,7
2023-01-16,St. Vincent's University Hospital,HSE Dublin and South East,141,0,141,172,341,16,0,7
2023-01-16,Tipperary University Hospital,HSE Dublin and South East,25,0,25,75,52,4,0,7
2023-01-16,UH Waterford,HSE Dublin and South East,0,0,0,245,179,0,0,7
2023-01-16,Wexford General Hospital,HSE Dublin and South East,38,26,64,116,78,16,0,7
2023-01-16,UH Limerick,HSE Mid West,55,135,190,255,97,4,0,7
2023-01-16,Cork University Hospital,HSE South West,159,46,205,166,292,5,0,7
2023-01-16,Mercy University Hospital,HSE South West,84,0,84,59,143,11,0,7
2023-01-16,UH Kerry,HSE South West,83,0,83,94,109,15,0,7
2023-01-16,Galway University Hospital,HSE West and North West,146,46,192,126,113,35,0,7
2023-01-16,Letterkenny University Hospital,HSE West and North West,127,36,163,70,140,33,0,7
2023-01-16,Mayo University Hospital,HSE West and North West,50,56,106,87,91,39,0,7
