"week_start","region","region_population","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week","trolleys_per_10k"
2023-05-29,HSE Dublin and Midlands,1077639,424,28,452,92,719,59,0,7,4.1944
2023-05-29,HSE Dublin and North East,1187082,193,10,203,204,598,13,0,7,1.7101
2023-05-29,HSE Dublin and South East,971093,188,3,191,401,486,47,0,7,1.9669
2023-05-29,HSE Mid West,413059,115,205,320,262,80,30,0,7,7.7471
2023-05-29,HSE South West,740614,237,27,264,250,467,31,0,7,3.5646
2023-05-29,HSE West and North West,759652,287,154,441,323,375,127,0,7,5.8053
2023-06-05,HSE Dublin and Midlands,1077639,347,2,349,101,849,28,0,7,3.2386
2023-06-05,HSE Dublin and North East,1187082,56,7,63,199,749,0,0,7,0.5307
2023-06-05,HSE Dublin and South East,971093,209,0,209,323,534,39,0,7,2.1522
2023-06-05,HSE Mid West,413059,99,229,328,260,95,31,0,7,7.9408
2023-06-05,HSE South West,740614,160,22,182,296,518,11,0,7,2.4574
2023-06-05,HSE West and North West,759652,346,168,514,341,429,139,0,7,6.7663
2023-06-12,HSE Dublin and Midlands,1077639,458,25,483,157,904,66,0,7,4.4820
2023-06-12,HSE Dublin and North East,1187082,53,2,55,194,748,0,0,7,0.4633
2023-06-12,HSE Dublin and South East,971093,264,1,265,351,525,44,0,7,2.7289
2023-06-12,HSE Mid West,413059,79,232,311,267,74,16,0,7,7.5292
2023-06-12,HSE South West,740614,253,35,288,274,573,37,0,7,3.8887
2023-06-12,HSE West and North West,759652,319,220,539,395,463,125,0,7,7.0954
2023-06-19,HSE Dublin and Midlands,1077639,459,39,498,157,889,84,0,7,4.6212
2023-06-19,HSE Dublin and North East,1187082,105,4,109,373,538,0,0,7,0.9182
2023-06-19,HSE Dublin and South East,971093,177,32,209,446,472,32,0,7,2.1522
2023-06-19,HSE Mid West,413059,92,244,336,233,60,18,0,7,8.1344
2023-06-19,HSE South West,740614,242,38,280,290,614,36,0,7,3.7806
2023-06-19,HSE West and North West,759652,337,264,601,362,489,170,0,7,7.9115
2023-06-26,HSE Dublin and Midlands,1077639,507,52,559,257,850,114,0,7,5.1873
2023-06-26,HSE Dublin and North East,1187082,47,3,50,189,459,1,0,7,0.4212
2023-06-26,HSE Dublin and South East,971093,175,18,193,414,526,28,0,7,1.9875
2023-06-26,HSE Mid West,413059,131,263,394,295,74,36,0,7,9.5386
2023-06-26,HSE South West,740614,163,37,200,196,550,16,0,7,2.7005
2023-06-26,HSE West and North West,759652,294,148,442,312,497,123,0,7,5.8185
2023-07-03,HSE Dublin and Midlands,1077639,513,40,553,144,838,96,0,7,5.1316
2023-07-03,HSE Dublin and North East,1187082,31,1,32,216,483,0,0,7,0.2696
2023-07-03,HSE Dublin and South East,971093,244,21,265,405,572,57,0,7,2.7289
2023-07-03,HSE Mid West,413059,121,246,367,227,86,23,0,7,8.8849
2023-07-03,HSE South West,740614,146,11,157,132,550,20,0,7,2.1199
2023-07-03,HSE West and North West,759652,190,138,328,281,471,87,0,7,4.3178
2023-07-10,HSE Dublin and Midlands,1077639,469,35,504,175,853,92,0,7,4.6769
2023-07-10,HSE Dublin and North East,1187082,93,3,96,195,467,0,0,7,0.8087
2023-07-10,HSE Dublin and South East,971093,210,17,227,485,580,32,0,7,2.3376
2023-07-10,HSE Mid West,413059,93,260,353,256,64,14,0,7,8.5460
2023-07-10,HSE South West,740614,245,17,262,220,574,27,0,7,3.5376
2023-07-10,HSE West and North West,759652,285,162,447,306,452,113,0,7,5.8843
2023-07-17,HSE Dublin and Midlands,1077639,257,8,265,128,925,19,0,7,2.4591
2023-07-17,HSE Dublin and North East,1187082,101,11,112,212,499,0,0,7,0.9435
2023-07-17,HSE Dublin and South East,971093,202,18,220,462,601,32,0,7,2.2655
2023-07-17,HSE Mid West,413059,99,251,350,251,62,19,0,7,8.4734
2023-07-17,HSE South West,740614,267,16,283,279,585,52,0,7,3.8212
2023-07-17,HSE West and North West,759652,256,191,447,391,424,107,0,7,5.8843
2023-07-24,HSE Dublin and Midlands,1077639,284,9,293,131,955,20,0,7,2.7189
2023-07-24,HSE Dublin and North East,1187082,92,0,92,114,451,0,0,7,0.7750
2023-07-24,HSE Dublin and South East,971093,266,36,302,545,645,59,0,7,3.1099
2023-07-24,HSE Mid West,413059,112,267,379,278,69,23,0,7,9.1754
2023-07-24,HSE South West,740614,308,26,334,232,591,57,0,7,4.5098
2023-07-24,HSE West and North West,759652,305,166,471,361,450,127,0,7,6.2002
2023-07-31,HSE Dublin and Midlands,1077639,273,23,296,139,977,17,0,7,2.7467
2023-07-31,HSE Dublin and North East,1187082,82,2,84,236,417,0,0,7,0.7076
2023-07-31,HSE Dublin and South East,971093,260,30,290,578,578,45,0,7,2.9863
2023-07-31,HSE Mid West,413059,100,228,328,229,63,29,0,7,7.9408
2023-07-31,HSE South West,740614,276,47,323,215,548,56,0,7,4.3612
2023-07-31,HSE West and North West,759652,353,175,528,326,433,141,0,7,6.9506
2023-08-07,HSE Dublin and Midlands,1077639,283,21,304,99,942,11,0,7,2.8210
2023-08-07,HSE Dublin and North East,1187082,226,12,238,317,330,7,0,7,2.0049
2023-08-07,HSE Dublin and South East,971093,211,42,253,463,531,59,0,7,2.6053
2023-08-07,HSE Mid West,413059,99,222,321,215,69,10,0,7,7.7713
2023-08-07,HSE South West,740614,177,8,185,252,558,17,0,7,2.4979
