date,hospital,ed_trolleys,ward_trolleys,total_trolleys
2023-01-09,Tallaght University Hospital,12,0,12
2023-01-09,Tipperary University Hospital,19,0,19
2023-01-09,UH Kerry,15,0,15
2023-01-09,UH Limerick,10,20,30
2023-01-09,UH Waterford,0,0,0
2023-01-09,Wexford General Hospital,20,4,24
2023-01-10,Beaumont Hospital,15,0,15
2023-01-10,CHI at Crumlin,0,0,0
2023-01-10,CHI at Tallaght,0,0,0
2023-01-10,CHI at Temple Street,5,0,5
2023-01-10,Cavan General Hospital,21,2,23
2023-01-10,Connolly Hospital,4,0,4
2023-01-10,Cork University Hospital,30,4,34
2023-01-10,Galway University Hospital,12,3,15
2023-01-10,Letterkenny University Hospital,15,6,21
2023-01-10,MRH Mullingar,12,0,12
2023-01-10,MRH Portlaoise,4,0,4
2023-01-10,MRH Tullamore,0,0,0
2023-01-10,Mater Misericordiae University Hospital,31,0,31
2023-01-10,Mayo University Hospital,2,8,10
2023-01-10,Mercy University Hospital,14,0,14
2023-01-10,Naas General Hospital,19,5,24
2023-01-10,Our Lady of Lourdes Hospital,17,2,19
2023-01-10,Our Lady's Hospital Navan,5,0,5
2023-01-10,Portiuncula University Hospital,9,13,4
2023-01-10,Sligo University Hospital,7,6,13
2023-01-10,St Luke's General Hospital Kilkenny,16,4,20
2023-01-10,St. James's Hospital,22,0,22
2023-01-10,St. Vincent's University Hospital,38,0,38
2023-01-10,Tallaght University Hospital,11,0,11
2023-01-10,Tipperary University Hospital,10,0,10
2023-01-10,UH Kerry,18,0,18
2023-01-10,UH Limerick,10,16,26
2023-01-10,UH Waterford,0,0,0
2023-01-10,Wexford General Hospital,13,4,17
2023-01-11,Beaumont Hospital,0,0,0
2023-01-11,CHI at Crumlin,0,0,0
2023-01-11,CHI at Tallaght,2,0,2
2023-01-11,CHI at Temple Street,4,0,4
2023-01-11,Cavan General Hospital,12,2,14
2023-01-11,Connolly Hospital,7,0,7
2023-01-11,Cork University Hospital,33,0,33
2023-01-11,Galway University Hospital,6,3,9
2023-01-11,Letterkenny University Hospital,16,1,17
2023-01-11,MRH Mullingar,19,0,19
2023-01-11,MRH Portlaoise,0,0,0
2023-01-11,MRH Tullamore,0,0,0
2023-01-11,Mater Misericordiae University Hospital,34,0,34
2023-01-11,Mayo University Hospital,12,0,12
2023-01-11,Mercy University Hospital,15,0,15
2023-01-11,Naas General Hospital,22,0,22
2023-01-11,Our Lady of Lourdes Hospital,7,1,8
2023-01-11,Our Lady's Hospital Navan,5,0,5
2023-01-11,Portiuncula University Hospital,3,12,9
2023-01-11,Sligo University Hospital,9,6,15
2023-01-11,St Luke's General Hospital Kilkenny,14,5,19
2023-01-11,St. James's Hospital,31,0,31
2023-01-11,St. Vincent's University Hospital,37,0,37
2023-01-11,Tallaght University Hospital,27,0,27
2023-01-11,Tipperary University Hospital,14,0,14
2023-01-11,UH Kerry,12,0,12
2023-01-11,UH Limerick,12,14,26
2023-01-11,UH Waterford,0,0,0
2023-01-11,Wexford General Hospital,12,2,14
2023-01-12,Beaumont Hospital,7,0,7
2023-01-12,CHI at Crumlin,5,0,5
2023-01-12,CHI at Tallaght,0,0,0
2023-01-12,CHI at Temple Street,2,0,2
2023-01-12,Cavan General Hospital,12,0,12
2023-01-12,Connolly Hospital,6,0,6
2023-01-12,Cork University Hospital,24,8,32
2023-01-12,Galway University Hospital,5,7,12
2023-01-12,Letterkenny University Hospital,5,8,13
2023-01-12,MRH Mullingar,12,0,12
2023-01-12,MRH Portlaoise,0,0,0
2023-01-12,MRH Tullamore,0,0,0
2023-01-12,Mater Misericordiae University Hospital,29,0,29
2023-01-12,Mayo University Hospital,9,0,9
2023-01-12,Mercy University Hospital,11,0,11
2023-01-12,Naas General Hospital,12,5,17
2023-01-12,Our Lady of Lourdes Hospital,7,0,7
2023-01-12,Our Lady's Hospital Navan,11,0,11
2023-01-12,Portiuncula University Hospital,12,0,12
2023-01-12,Sligo University Hospital,12,0,12
2023-01-12,St Luke's General Hospital Kilkenny,9,3,12
2023-01-12,St. James's Hospital,27,0,27
2023-01-12,St. Vincent's University Hospital,30,0,30
2023-01-12,Tallaght University Hospital,42,0,42
2023-01-12,Tipperary University Hospital,7,0,7
2023-01-12,UH Kerry,22,0,22
2023-01-12,UH Limerick,7,20,27
2023-01-12,UH Waterford,0,0,0
2023-01-12,Wexford General Hospital,2,2,4
2023-01-13,Beaumont Hospital,5,0,5
2023-01-13,CHI at Crumlin,7,0,7
2023-01-13,CHI at Tallaght,0,0,0
2023-01-13,CHI at Temple Street,1,0,1
2023-01-13,Cavan General Hospital,10,2,12
2023-01-13,Connolly Hospital,5,0,5
2023-01-13,Cork University Hospital,25,3,28
2023-01-13,Galway University Hospital,19,0,19
2023-01-13,Letterkenny University Hospital,10,5,15
2023-01-13,MRH Mullingar,10,0,10
2023-01-13,MRH Portlaoise,0,0,0
2023-01-13,MRH Tullamore,0,0,0
2023-01-13,Mater Misericordiae University Hospital,19,0,19
2023-01-13,Mayo University Hospital,5,4,9
2023-01-13,Mercy University Hospital,18,0,18
2023-01-13,Naas General Hospital,10,5,15
2023-01-13,Our Lady of Lourdes Hospital,2,2,4
2023-01-13,Our Lady's Hospital Navan,0,0,0
2023-01-13,Portiuncula University Hospital,7,0,7
2023-01-13,Sligo University Hospital,7,6,13
2023-01-13,St Luke's General Hospital Kilkenny,14,1,15
2023-01-13,St. James's Hospital,23,0,23
2023-01-13,St. Vincent's University Hospital,28,0,28
2023-01-13,Tallaght University Hospital,45,0,45
