Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
08/10/2023,HSE Dublin and Midlands Total,68,3,71,85,189,6,2
08/10/2023,UH Waterford,0,0,0,7,20,,
08/10/2023,Wexford General Hospital,7,4,11,5,5,1,
08/10/2023,Cork University Hospital,18,6,24,16,49,4,
08/10/2023,Mercy University Hospital,10,0,10,8,27,1,
08/10/2023,UH Kerry,17,0,17,19,24,4,3
08/10/2023,UH Limerick,30,32,62,47,13,5,3
08/10/2023,Galway University Hospital,6,2,8,0,27,1,1
08/10/2023,Letterkenny University Hospital,4,5,9,15,30,,
08/10/2023,HSE Dublin and South East Total,92,49,141,117,195,16,7
08/10/2023,Mayo University Hospital,6,9,15,0,8,3,
08/10/2023,Portiuncula University Hospital,0,0,0,0,9,,
08/10/2023,Sligo University Hospital,11,10,21,12,17,9,
08/10/2023,National Total,201,74,275,243,475,34,9
09/10/2023,Beaumont Hospital,4,,4,0,14,,
09/10/2023,Cavan General Hospital,11,2,13,4,6,,1
09/10/2023,Connolly Hospital,0,0,0,0,5,,
09/10/2023,Mater Misericordiae University Hospital,24,,24,0,21,6,
09/10/2023,Our Lady of Lourdes Hospital,17,1,18,17,1,,2
09/10/2023,Our Lady's Hospital Navan,14,0,14,7,4,1,
09/10/2023,CHI at Crumlin,6,,6,,4,,
09/10/2023,CHI at Tallaght,1,,1,,2,,
09/10/2023,HSE Dublin and North East Total,77,3,80,28,57,7,3
09/10/2023,CHI at Temple Street,0,6,6,,5,,
09/10/2023,MRH Mullingar,17,4,21,3,1,5,
09/10/2023,MRH Portlaoise,5,0,5,0,7,1,
09/10/2023,MRH Tullamore,0,0,0,0,5,,
09/10/2023,Naas General Hospital,11,5,16,10,11,,1
09/10/2023,St. James's Hospital,11,0,11,0,61,,
09/10/2023,Tallaght University Hospital,24,0,24,11,41,4,
09/10/2023,St Luke's General Hospital Kilkenny,0,1,1,33,8,,
09/10/2023,St. Vincent's University Hospital,14,0,14,22,43,,
09/10/2023,Tipperary University Hospital,16,0,16,15,11,4,
09/10/2023,HSE Dublin and Midlands Total,98,16,114,94,193,14,1
09/10/2023,UH Waterford,0,,0,16,20,,
09/10/2023,Wexford General Hospital,4,6,10,8,5,2,
09/10/2023,Cork University Hospital,23,6,29,28,49,5,
09/10/2023,Mercy University Hospital,15,0,15,7,27,3,
09/10/2023,UH Kerry,26,0,26,16,24,7,6
09/10/2023,UH Limerick,31,35,66,42,13,17,1
09/10/2023,Galway University Hospital,21,7,28,21,27,3,
09/10/2023,Letterkenny University Hospital,20,,20,17,30,6,
09/10/2023,HSE Dublin and South East Total,140,54,194,155,195,43,7
09/10/2023,Mayo University Hospital,3,10,13,5,8,7,
09/10/2023,Portiuncula University Hospital,0,0,0,0,9,,
09/10/2023,Sligo University Hospital,6,14,20,12,17,14,
09/10/2023,National Total,324,97,421,294,479,85,11
10/10/2023,Beaumont Hospital,7,,7,0,12,,
10/10/2023,Cavan General Hospital,4,2,6,0,6,,
10/10/2023,Connolly Hospital,2,0,2,10,5,,
10/10/2023,Mater Misericordiae University Hospital,29,,29,0,19,6,
10/10/2023,Our Lady of Lourdes Hospital,33,1,34,24,0,4,1
10/10/2023,Our Lady's Hospital Navan,5,,5,7,3,1,
10/10/2023,CHI at Crumlin,3,,3,,4,,
10/10/2023,CHI at Tallaght,1,,1,,2,,
10/10/2023,HSE Dublin and North East Total,84,3,87,41,51,11,1
10/10/2023,CHI at Temple Street,2,8,10,,5,1,
10/10/2023,MRH Mullingar,19,,19,1,0,,
10/10/2023,MRH Portlaoise,5,0,5,0,7,5,
10/10/2023,MRH Tullamore,0,0,0,7,6,,
10/10/2023,Naas General Hospital,9,7,16,7,14,3,1
10/10/2023,St. James's Hospital,15,0,15,0,63,,
10/10/2023,Tallaght University Hospital,38,0,38,13,34,10,1
10/10/2023,St Luke's General Hospital Kilkenny,7,6,13,35,8,,
10/10/2023,St. Vincent's University Hospital,10,0,10,21,43,,
10/10/2023,Tipperary University Hospital,16,,16,15,12,9,
10/10/2023,HSE Dublin and Midlands Total,121,21,142,99,192,28,2
10/10/2023,UH Waterford,0,,0,24,16,,
10/10/2023,Wexford General Hospital,4,,4,8,7,2,
10/10/2023,Cork University Hospital,27,8,35,30,51,6,
10/10/2023,Mercy University Hospital,18,,18,7,25,1,
10/10/2023,UH Kerry,18,0,18,24,26,4,
10/10/2023,UH Limerick,28,33,61,68,12,11,2
10/10/2023,Galway University Hospital,20,8,28,21,25,1,
10/10/2023,Letterkenny University Hospital,1,8,9,7,24,5,
10/10/2023,HSE Dublin and South East Total,116,57,173,189,186,30,2
10/10/2023,Mayo University Hospital,8,7,15,6,8,8,
10/10/2023,Portiuncula University Hospital,1,0,1,0,8,,
10/10/2023,Sligo University Hospital,23,,23,11,17,4,
10/10/2023,National Total,353,88,441,346,462,81,5
11/10/2023,Beaumont Hospital,3,,3,0,13,,
11/10/2023,Cavan General Hospital,-1,2,1,5,6,,
11/10/2023,Connolly Hospital,1,0,1,14,5,,
11/10/2023,Mater Misericordiae University Hospital,35,,35,0,23,6,3
11/10/2023,Our Lady of Lourdes Hospital,11,1,12,20,0,,1
11/10/2023,Our Lady's Hospital Navan,0,0,0,7,3,,
11/10/2023,CHI at Crumlin,6,,6,,4,,
11/10/2023,CHI at Tallaght,0,,0,,2,,
11/10/2023,HSE Dublin and North East Total,55,3,58,46,56,6,4
11/10/2023,CHI at Temple Street,5,,5,,5,2,
11/10/2023,MRH Mullingar,15,3,18,3,0,1,1
11/10/2023,MRH Portlaoise,7,0,7,0,7,,
11/10/2023,MRH Tullamore,0,0,0,11,5,,
11/10/2023,Naas General Hospital,13,7,20,12,14,1,
11/10/2023,St. James's Hospital,27,,27,0,64,1,
11/10/2023,Tallaght University Hospital,20,6,26,17,35,5,3
11/10/2023,St Luke's General Hospital Kilkenny,14,6,20,34,9,6,2
11/10/2023,St. Vincent's University Hospital,18,,18,33,47,2,
11/10/2023,Tipperary University Hospital,6,0,6,12,11,2,
11/10/2023,HSE Dublin and Midlands Total,125,22,147,122,197,20,6
11/10/2023,UH Waterford,0,,0,21,19,,
11/10/2023,Wexford General Hospital,6,5,11,10,6,,
11/10/2023,Cork University Hospital,38,11,49,16,48,2,
11/10/2023,Mercy University Hospital,15,0,15,7,22,4,
11/10/2023,UH Kerry,10,0,10,9,22,2,
11/10/2023,UH Limerick,35,34,69,61,12,12,1
11/10/2023,Galway University Hospital,32,12,44,20,25,2,
11/10/2023,Letterkenny University Hospital,10,,10,15,24,4,
11/10/2023,HSE Dublin and South East Total,146,62,208,159,178,26,1
11/10/2023,Mayo University Hospital,6,9,15,7,16,3,
11/10/2023,Portiuncula University Hospital,0,0,0,0,8,,
11/10/2023,Sligo University Hospital,2,13,15,12,17,7,
11/10/2023,National Total,334,109,443,346,472,62,11
12/10/2023,Beaumont Hospital,0,,0,0,17,,
12/10/2023,Cavan General Hospital,-2,2,0,2,7,,
12/10/2023,Connolly Hospital,0,0,0,5,5,,
12/10/2023,Mater Misericordiae University Hospital,32,,32,0,28,7,1
12/10/2023,Our Lady of Lourdes Hospital,6,0,6,14,0,,
12/10/2023,Our Lady's Hospital Navan,0,0,0,0,3,,
12/10/2023,CHI at Crumlin,6,,6,,4,,
12/10/2023,CHI at Tallaght,0,,0,,2,,
12/10/2023,HSE Dublin and North East Total,42,2,44,21,66,7,1
12/10/2023,CHI at Temple Street,4,,4,,5,1,
12/10/2023,MRH Mullingar,11,1,12,1,0,1,
12/10/2023,MRH Portlaoise,12,,12,0,7,2,
12/10/2023,MRH Tullamore,0,0,0,14,8,,
12/10/2023,Naas General Hospital,13,6,19,6,12,6,3
12/10/2023,St. James's Hospital,34,0,34,0,62,5,
12/10/2023,Tallaght University Hospital,23,,23,16,35,6,1
12/10/2023,St Luke's General Hospital Kilkenny,10,5,15,44,9,4,
12/10/2023,St. Vincent's University Hospital,11,0,11,22,46,,
12/10/2023,Tipperary University Hospital,11,0,11,12,8,3,
12/10/2023,HSE Dublin and Midlands Total,129,12,141,115,192,28,4
12/10/2023,UH Waterford,0,,0,16,17,,
12/10/2023,Wexford General Hospital,0,18,18,13,6,1,
12/10/2023,Cork University Hospital,31,13,44,21,48,7,
12/10/2023,Mercy University Hospital,16,0,16,8,22,2,
12/10/2023,UH Kerry,10,0,10,12,26,1,
12/10/2023,UH Limerick,24,33,57,54,16,5,
12/10/2023,Galway University Hospital,21,6,27,20,25,6,
12/10/2023,Letterkenny University Hospital,10,6,16,7,28,5,
12/10/2023,HSE Dublin and South East Total,112,76,188,151,188,27,0
12/10/2023,Mayo University Hospital,7,10,17,6,14,5,
12/10/2023,Portiuncula University Hospital,0,0,0,0,7,,
12/10/2023,Sligo University Hospital,2,14,16,10,17,10,
12/10/2023,National Total,292,114,406,303,484,77,5
13/10/2023,Beaumont Hospital,6,,6,0,17,,
13/10/2023,Cavan General Hospital,-2,2,0,3,7,,
13/10/2023,Connolly Hospital,0,0,0,0,10,,
13/10/2023,Mater Misericordiae University Hospital,25,,25,0,28,5,9
13/10/2023,Our Lady of Lourdes Hospital,3,1,4,17,0,,
13/10/2023,Our Lady's Hospital Navan,0,0,0,0,3,,
13/10/2023,CHI at Crumlin,4,,4,,4,,
13/10/2023,CHI at Tallaght,0,,0,,2,,
13/10/2023,HSE Dublin and North East Total,36,3,39,20,71,5,9
13/10/2023,CHI at Temple Street,0,11,11,,5,1,
13/10/2023,MRH Mullingar,11,1,12,0,0,,
13/10/2023,MRH Portlaoise,5,0,5,0,5,,
13/10/2023,MRH Tullamore,0,0,0,12,8,,
13/10/2023,Naas General Hospital,8,3,11,3,12,2,
13/10/2023,St. James's Hospital,32,0,32,0,65,7,
13/10/2023,Tallaght University Hospital,20,0,20,10,37,2,
13/10/2023,St Luke's General Hospital Kilkenny,5,0,5,38,8,2,
13/10/2023,St. Vincent's University Hospital,7,,7,33,45,,
13/10/2023,Tipperary University Hospital,16,,16,12,4,7,
13/10/2023,HSE Dublin and Midlands Total,104,15,119,108,189,21,0
13/10/2023,UH Waterford,0,,0,0,27,,
13/10/2023,Wexford General Hospital,11,,11,5,6,4,
13/10/2023,Cork University Hospital,16,12,28,22,46,2,
13/10/2023,Mercy University Hospital,11,0,11,8,20,1,
13/10/2023,UH Kerry,1,0,1,15,26,,
13/10/2023,UH Limerick,24,37,61,47,14,6,
13/10/2023,Galway University Hospital,18,4,22,22,21,,
13/10/2023,Letterkenny University Hospital,2,4,6,0,28,1,
13/10/2023,HSE Dublin and South East Total,83,57,140,119,188,14,0
13/10/2023,Mayo University Hospital,7,13,20,4,14,10,
13/10/2023,Portiuncula University Hospital,0,0,0,0,7,,
13/10/2023,Sligo University Hospital,2,12,14,11,17,5,
13/10/2023,National Total,232,100,332,262,486,55,9
14/10/2023,Beaumont Hospital,0,0,0,0,17,,
14/10/2023,Cavan General Hospital,-2,2,0,5,7,,
14/10/2023,Connolly Hospital,0,0,0,0,10,,
14/10/2023,Mater Misericordiae University Hospital,0,,0,0,28,,
14/10/2023,Our Lady of Lourdes Hospital,5,1,6,11,0,,
14/10/2023,Our Lady's Hospital Navan,0,,0,0,3,,
14/10/2023,CHI at Crumlin,2,,2,,4,,
14/10/2023,CHI at Tallaght,0,,0,,2,,
14/10/2023,HSE Dublin and North East Total,5,3,8,16,71,0,0
14/10/2023,CHI at Temple Street,1,4,5,,4,,
14/10/2023,MRH Mullingar,5,0,5,0,0,,
14/10/2023,MRH Portlaoise,6,0,6,0,5,,
14/10/2023,MRH Tullamore,0,,0,0,8,,
14/10/2023,Naas General Hospital,2,0,2,0,12,,
14/10/2023,St. James's Hospital,14,,14,0,65,,
14/10/2023,Tallaght University Hospital,17,0,17,14,37,,
14/10/2023,St Luke's General Hospital Kilkenny,1,0,1,0,7,,
14/10/2023,St. Vincent's University Hospital,1,0,1,33,45,,
14/10/2023,Tipperary University Hospital,8,,8,9,4,1,
14/10/2023,HSE Dublin and Midlands Total,55,4,59,56,187,1,0
14/10/2023,UH Waterford,0,,0,8,27,,
14/10/2023,Wexford General Hospital,6,1,7,5,6,,
14/10/2023,Cork University Hospital,17,4,21,14,42,,
14/10/2023,Mercy University Hospital,5,0,5,6,19,,3
14/10/2023,UH Kerry,14,0,14,15,22,,
14/10/2023,UH Limerick,9,,9,23,16,1,1
14/10/2023,Galway University Hospital,2,0,2,14,20,,
14/10/2023,Letterkenny University Hospital,0,0,0,1,27,,
14/10/2023,HSE Dublin and South East Total,53,5,58,86,179,1,4
14/10/2023,Mayo University Hospital,6,8,14,0,10,10,
14/10/2023,Portiuncula University Hospital,0,0,0,0,7,,
14/10/2023,Sligo University Hospital,15,,15,8,15,4,
14/10/2023,National Total,134,20,154,166,469,16,4
15/10/2023,Beaumont Hospital,0,0,0,0,17,,
15/10/2023,Cavan General Hospital,-2,2,0,4,7,,
15/10/2023,Connolly Hospital,0,0,0,0,10,,
15/10/2023,Mater Misericordiae University Hospital,6,,6,0,28,,
15/10/2023,Our Lady of Lourdes Hospital,8,0,8,13,0,,
15/10/2023,Our Lady's Hospital Navan,4,,4,3,3,,
15/10/2023,CHI at Crumlin,0,,0,,4,,
15/10/2023,CHI at Tallaght,2,,2,,2,,
15/10/2023,HSE Dublin and North East Total,18,2,20,20,71,0,0
15/10/2023,CHI at Temple Street,3,,3,,4,,
15/10/2023,MRH Mullingar,7,,7,0,0,,
15/10/2023,MRH Portlaoise,4,0,4,0,5,,
15/10/2023,MRH Tullamore,0,0,0,10,8,,
15/10/2023,Naas General Hospital,4,0,4,0,12,,
15/10/2023,St. James's Hospital,13,,13,0,65,1,
15/10/2023,Tallaght University Hospital,20,,20,11,37,4,
15/10/2023,St Luke's General Hospital Kilkenny,0,11,11,12,7,3,
15/10/2023,St. Vincent's University Hospital,6,0,6,22,45,,
15/10/2023,Tipperary University Hospital,21,,21,10,4,5,
15/10/2023,HSE Dublin and Midlands Total,78,11,89,65,187,13,0
15/10/2023,UH Waterford,0,0,0,14,27,,
15/10/2023,Wexford General Hospital,7,9,16,0,6,1,
15/10/2023,Cork University Hospital,15,6,21,14,42,,
15/10/2023,Mercy University Hospital,5,0,5,4,19,1,4
15/10/2023,UH Kerry,14,0,14,15,22,4,1
15/10/2023,UH Limerick,3,35,38,41,16,,
15/10/2023,Galway University Hospital,4,0,4,26,19,,
15/10/2023,Letterkenny University Hospital,1,0,1,1,27,,
15/10/2023,HSE Dublin and South East Total,49,50,99,115,178,6,5
15/10/2023,Mayo University Hospital,9,12,21,0,10,11,
15/10/2023,Portiuncula University Hospital,0,0,0,0,7,,
15/10/2023,Sligo University Hospital,0,21,21,11,15,10,
15/10/2023,National Total,154,96,250,211,468,40,5
16/10/2023,Beaumont Hospital,0,,0,0,17,,
16/10/2023,Cavan General Hospital,7,0,7,3,7,,
16/10/2023,Connolly Hospital,0,0,0,0,10,,
16/10/2023,Mater Misericordiae University Hospital,17,,17,0,28,4,
16/10/2023,Our Lady of Lourdes Hospital,19,1,20,20,0,2,
16/10/2023,Our Lady's Hospital Navan,5,,5,4,3,,
16/10/2023,CHI at Crumlin,0,,0,,4,,
16/10/2023,CHI at Tallaght,0,,0,,2,,
16/10/2023,HSE Dublin and North East Total,48,1,49,27,71,6,0
16/10/2023,CHI at Temple Street,0,3,3,,4,,
16/10/2023,MRH Mullingar,9,4,13,3,0,2,1
16/10/2023,MRH Portlaoise,3,0,3,0,5,,
16/10/2023,MRH Tullamore,1,0,1,25,8,,
16/10/2023,Naas General Hospital,10,2,12,2,12,1,1
16/10/2023,St. James's Hospital,24,0,24,0,65,6,
16/10/2023,Tallaght University Hospital,19,,19,16,37,9,
16/10/2023,St Luke's General Hospital Kilkenny,9,5,14,41,7,4,
16/10/2023,St. Vincent's University Hospital,7,0,7,11,45,1,
16/10/2023,Tipperary University Hospital,20,,20,12,4,11,1
16/10/2023,HSE Dublin and Midlands Total,102,14,116,110,187,34,3
16/10/2023,UH Waterford,0,,0,17,27,,
16/10/2023,Wexford General Hospital,8,8,16,7,6,6,1
16/10/2023,Cork University Hospital,29,6,35,20,42,2,
16/10/2023,Mercy University Hospital,5,0,5,6,19,,
16/10/2023,UH Kerry,17,0,17,18,22,7,
16/10/2023,UH Limerick,23,35,58,46,16,3,
16/10/2023,Galway University Hospital,12,4,16,16,19,,
16/10/2023,Letterkenny University Hospital,3,5,8,0,27,1,
16/10/2023,HSE Dublin and South East Total,97,58,155,130,178,19,1
16/10/2023,Mayo University Hospital,8,15,23,4,10,14,
16/10/2023,Portiuncula University Hospital,1,0,1,0,7,,
16/10/2023,Sligo University Hospital,10,17,27,12,15,14,
16/10/2023,National Total,266,105,371,283,468,87,4
17/10/2023,Beaumont Hospital,7,,7,0,14,,
17/10/2023,Cavan General Hospital,-2,2,0,4,7,,
17/10/2023,Connolly Hospital,0,0,0,0,10,,
17/10/2023,Mater Misericordiae University Hospital,28,,28,0,28,3,1
17/10/2023,Our Lady of Lourdes Hospital,6,3,9,16,0,,
17/10/2023,Our Lady's Hospital Navan,4,0,4,0,3,,
17/10/2023,CHI at Crumlin,0,,0,,4,,
17/10/2023,CHI at Tallaght,0,,0,,2,,
17/10/2023,HSE Dublin and North East Total,43,5,48,20,68,3,1
17/10/2023,CHI at Temple Street,0,2,2,,4,,
17/10/2023,MRH Mullingar,12,,12,0,0,1,
17/10/2023,MRH Portlaoise,4,0,4,0,5,,
17/10/2023,MRH Tullamore,0,0,0,29,6,,
17/10/2023,Naas General Hospital,8,0,8,0,11,1,
17/10/2023,St. James's Hospital,23,0,23,0,65,2,
17/10/2023,Tallaght University Hospital,25,4,29,16,36,8,
17/10/2023,St Luke's General Hospital Kilkenny,10,7,17,42,7,1,
17/10/2023,St. Vincent's University Hospital,11,,11,33,44,,
17/10/2023,Tipperary University Hospital,17,0,17,12,4,9,
17/10/2023,HSE Dublin and Midlands Total,110,13,123,132,182,22,0
17/10/2023,UH Waterford,0,,0,16,24,,
17/10/2023,Wexford General Hospital,5,6,11,8,5,2,
17/10/2023,Cork University Hospital,23,11,34,16,45,6,
17/10/2023,Mercy University Hospital,2,0,2,7,18,,
17/10/2023,UH Kerry,15,0,15,15,22,2,
17/10/2023,UH Limerick,22,35,57,70,16,9,
17/10/2023,Galway University Hospital,10,7,17,20,19,2,1
17/10/2023,Letterkenny University Hospital,1,4,5,0,30,2,
17/10/2023,HSE Dublin and South East Total,78,63,141,152,179,23,1
17/10/2023,Mayo University Hospital,9,14,23,5,7,13,2
17/10/2023,Portiuncula University Hospital,1,0,1,0,6,,
17/10/2023,Sligo University Hospital,11,15,26,11,15,12,
17/10/2023,National Total,252,110,362,320,457,73,4
18/10/2023,Beaumont Hospital,0,,0,0,15,,
18/10/2023,Cavan General Hospital,3,0,3,3,2,,
18/10/2023,Connolly Hospital,0,0,0,10,10,,
18/10/2023,Mater Misericordiae University Hospital,31,,31,0,30,6,5
18/10/2023,Our Lady of Lourdes Hospital,5,1,6,17,0,,
18/10/2023,Our Lady's Hospital Navan,3,0,3,5,3,,
18/10/2023,CHI at Crumlin,0,0,0,,4,,
18/10/2023,CHI at Tallaght,0,,0,,2,,
18/10/2023,HSE Dublin and North East Total,42,1,43,35,66,6,5
18/10/2023,CHI at Temple Street,0,,0,,4,,
18/10/2023,MRH Mullingar,15,0,15,1,0,,
18/10/2023,MRH Portlaoise,5,0,5,0,5,1,
18/10/2023,MRH Tullamore,0,0,0,20,5,,
18/10/2023,Naas General Hospital,11,2,13,2,10,,
18/10/2023,St. James's Hospital,20,0,20,0,65,1,
18/10/2023,Tallaght University Hospital,27,6,33,22,39,11,2
18/10/2023,St Luke's General Hospital Kilkenny,17,,17,53,8,3,
18/10/2023,St. Vincent's University Hospital,16,0,16,35,46,,
18/10/2023,Tipperary University Hospital,7,0,7,15,4,5,
18/10/2023,HSE Dublin and Midlands Total,118,8,126,148,186,21,2
18/10/2023,UH Waterford,0,,0,21,22,,
18/10/2023,Wexford General Hospital,5,10,15,3,6,8,
18/10/2023,Cork University Hospital,12,11,23,18,51,2,
18/10/2023,Mercy University Hospital,6,0,6,8,24,,5
18/10/2023,UH Kerry,9,0,9,15,19,4,
18/10/2023,UH Limerick,26,35,61,37,21,7,3
18/10/2023,Galway University Hospital,13,4,17,20,20,3,
18/10/2023,Letterkenny University Hospital,0,0,0,0,27,,
18/10/2023,HSE Dublin and South East Total,71,60,131,122,190,24,8
18/10/2023,Mayo University Hospital,21,,21,5,12,9,
18/10/2023,Portiuncula University Hospital,1,0,1,0,5,,
18/10/2023,Sligo University Hospital,11,10,21,12,16,9,
18/10/2023,National Total,264,79,343,322,475,69,15
19/10/2023,Beaumont Hospital,0,,0,0,17,,
19/10/2023,Cavan General Hospital,0,0,0,0,2,,
19/10/2023,Connolly Hospital,0,0,0,8,10,,
19/10/2023,Mater Misericordiae University Hospital,25,,25,0,29,3,1
19/10/2023,Our Lady of Lourdes Hospital,3,0,3,9,0,,
19/10/2023,Our Lady's Hospital Navan,0,0,0,5,3,,
19/10/2023,CHI at Crumlin,0,,0,,4,,
19/10/2023,CHI at Tallaght,0,,0,,2,,
19/10/2023,HSE Dublin and North East Total,28,0,28,22,67,3,1
19/10/2023,CHI at Temple Street,4,,4,,4,,
19/10/2023,MRH Mullingar,0,0,0,1,0,,
19/10/2023,MRH Portlaoise,0,,0,0,5,,
19/10/2023,MRH Tullamore,0,0,0,15,6,,
19/10/2023,Naas General Hospital,6,3,9,3,9,1,
19/10/2023,St. James's Hospital,20,0,20,0,64,,
19/10/2023,Tallaght University Hospital,20,0,20,22,41,8,1
19/10/2023,St Luke's General Hospital Kilkenny,5,6,11,41,7,,
19/10/2023,St. Vincent's University Hospital,10,,10,35,46,,
19/10/2023,Tipperary University Hospital,4,,4,13,4,2,
19/10/2023,HSE Dublin and Midlands Total,69,9,78,130,186,11,1
19/10/2023,UH Waterford,0,0,0,18,21,,
19/10/2023,Wexford General Hospital,0,3,3,0,6,,
19/10/2023,Cork University Hospital,27,8,35,34,56,1,1
19/10/2023,Mercy University Hospital,9,,9,8,26,,
19/10/2023,UH Kerry,22,0,22,15,,1,
19/10/2023,UH Limerick,9,34,43,48,20,2,2
19/10/2023,Galway University Hospital,13,3,16,20,22,,1
19/10/2023,Letterkenny University Hospital,3,1,4,0,29,,
19/10/2023,HSE Dublin and South East Total,83,49,132,143,180,4,4
19/10/2023,Mayo University Hospital,16,,16,5,11,10,
19/10/2023,Portiuncula University Hospital,0,0,0,0,5,,
19/10/2023,Sligo University Hospital,6,11,17,11,16,8,
19/10/2023,National Total,202,69,271,311,465,36,6
20/10/2023,Beaumont Hospital,0,,0,0,19,,1
20/10/2023,Cavan General Hospital,0,0,0,1,3,,
20/10/2023,Connolly Hospital,7,0,7,15,10,,
20/10/2023,Mater Misericordiae University Hospital,23,,23,0,29,2,
20/10/2023,Our Lady of Lourdes Hospital,5,1,6,14,0,,
20/10/2023,Our Lady's Hospital Navan,3,,3,7,3,,
20/10/2023,CHI at Crumlin,1,,1,,4,,
20/10/2023,CHI at Tallaght,1,,1,,2,,
20/10/2023,HSE Dublin and North East Total,40,1,41,37,70,2,1
20/10/2023,CHI at Temple Street,7,,7,,4,,
20/10/2023,MRH Mullingar,0,0,0,10,0,,
20/10/2023,MRH Portlaoise,3,0,3,0,3,,
20/10/2023,MRH Tullamore,0,,0,20,5,,
20/10/2023,Naas General Hospital,4,5,9,5,8,,
20/10/2023,St. James's Hospital,32,0,32,0,61,2,
20/10/2023,Tallaght University Hospital,13,0,13,16,43,,
20/10/2023,St Luke's General Hospital Kilkenny,0,0,0,31,7,,
20/10/2023,St. Vincent's University Hospital,10,0,10,22,46,,
20/10/2023,Tipperary University Hospital,8,,8,15,4,,
20/10/2023,HSE Dublin and Midlands Total,77,5,82,119,181,2,0
20/10/2023,UH Waterford,0,,0,16,24,,
20/10/2023,Wexford General Hospital,2,6,8,5,6,2,
20/10/2023,Cork University Hospital,10,8,18,17,54,,
20/10/2023,Mercy University Hospital,7,0,7,8,25,1,2
20/10/2023,UH Kerry,21,0,21,13,19,3,
20/10/2023,UH Limerick,12,34,46,44,19,2,
20/10/2023,Galway University Hospital,14,3,17,20,24,2,
20/10/2023,Letterkenny University Hospital,4,1,5,0,29,,
20/10/2023,HSE Dublin and South East Total,70,52,122,123,200,10,2
20/10/2023,Mayo University Hospital,11,10,21,8,12,13,
20/10/2023,Portiuncula University Hospital,1,0,1,0,5,,
20/10/2023,Sligo University Hospital,9,11,20,12,16,7,
20/10/2023,National Total,208,79,287,299,484,34,3
21/10/2023,Beaumont Hospital,0,0,0,0,17,,
21/10/2023,Cavan General Hospital,1,1,2,0,3,,
21/10/2023,Connolly Hospital,0,0,0,2,10,,
21/10/2023,Mater Misericordiae University Hospital,17,,17,0,23,,1
21/10/2023,Our Lady of Lourdes Hospital,0,0,0,9,0,,
21/10/2023,Our Lady's Hospital Navan,9,0,9,0,3,,
21/10/2023,CHI at Crumlin,1,,1,,4,,
21/10/2023,CHI at Tallaght,0,,0,,2,,
21/10/2023,HSE Dublin and North East Total,28,1,29,11,62,0,1
21/10/2023,CHI at Temple Street,0,11,11,,4,2,
21/10/2023,MRH Mullingar,1,,1,0,0,,
21/10/2023,MRH Portlaoise,4,0,4,0,3,,
21/10/2023,MRH Tullamore,0,0,0,7,5,,
21/10/2023,Naas General Hospital,9,0,9,0,9,,
21/10/2023,St. James's Hospital,8,0,8,0,63,1,
21/10/2023,Tallaght University Hospital,25,0,25,10,42,6,
21/10/2023,St Luke's General Hospital Kilkenny,0,6,6,27,7,,2
21/10/2023,St. Vincent's University Hospital,11,0,11,11,46,,
21/10/2023,Tipperary University Hospital,0,0,0,12,4,,
21/10/2023,HSE Dublin and Midlands Total,58,17,75,67,183,9,2
21/10/2023,UH Waterford,0,0,0,10,24,,
21/10/2023,Wexford General Hospital,7,1,8,4,6,,
21/10/2023,Cork University Hospital,16,6,22,14,54,,
21/10/2023,Mercy University Hospital,6,0,6,5,25,,
21/10/2023,UH Kerry,26,0,26,15,22,5,1
21/10/2023,UH Limerick,19,32,51,40,16,5,
21/10/2023,Galway University Hospital,10,0,10,22,24,,
21/10/2023,Letterkenny University Hospital,0,0,0,0,23,,
21/10/2023,HSE Dublin and South East Total,84,39,123,110,194,10,1
21/10/2023,Mayo University Hospital,7,14,21,6,12,13,
21/10/2023,Portiuncula University Hospital,0,0,0,0,3,,
21/10/2023,Sligo University Hospital,13,,13,11,16,4,
21/10/2023,National Total,190,71,261,205,470,36,4
22/10/2023,Beaumont Hospital,0,0,0,0,17,,
22/10/2023,Cavan General Hospital,-1,1,0,7,3,,
22/10/2023,Connolly Hospital,0,0,0,2,10,,
22/10/2023,Mater Misericordiae University Hospital,12,,12,0,23,1,
22/10/2023,Our Lady of Lourdes Hospital,7,,7,13,0,,
22/10/2023,Our Lady's Hospital Navan,0,,0,6,3,,
22/10/2023,CHI at Crumlin,1,,1,,4,,
22/10/2023,CHI at Tallaght,0,,0,,2,,
22/10/2023,HSE Dublin and North East Total,19,1,20,28,62,1,0
22/10/2023,CHI at Temple Street,10,,10,,4,,
22/10/2023,MRH Mullingar,0,0,0,0,0,,
22/10/2023,MRH Portlaoise,10,0,10,0,3,,
22/10/2023,MRH Tullamore,0,0,0,10,5,,
22/10/2023,Naas General Hospital,7,2,9,0,9,1,
22/10/2023,St. James's Hospital,5,0,5,0,63,,
22/10/2023,Tallaght University Hospital,32,0,32,10,42,9,
22/10/2023,St Luke's General Hospital Kilkenny,0,,0,27,7,,
22/10/2023,St. Vincent's University Hospital,23,0,23,20,46,1,
22/10/2023,Tipperary University Hospital,2,0,2,12,4,,
22/10/2023,HSE Dublin and Midlands Total,89,2,91,79,183,11,0
