week_start,region,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2023-11-27,HSE South West,368,81,449,7
2023-11-27,HSE West and North West,235,154,389,7
2023-12-04,HSE Dublin and Midlands,706,9,715,7
2023-12-04,HSE Dublin and North East,362,10,372,7
2023-12-04,HSE Dublin and South East,318,23,341,7
2023-12-04,HSE Mid West,193,200,393,7
2023-12-04,HSE South West,299,66,365,7
2023-12-04,HSE West and North West,354,257,611,7
2023-12-11,HSE Dublin and Midlands,622,95,717,7
2023-12-11,HSE Dublin and North East,319,10,329,7
2023-12-11,HSE Dublin and South East,335,43,378,7
2023-12-11,HSE Mid West,165,252,417,7
2023-12-11,HSE South West,435,54,489,7
2023-12-11,HSE West and North West,424,259,683,7
2023-12-18,HSE Dublin and Midlands,262,14,276,7
2023-12-18,HSE Dublin and North East,107,10,117,7
2023-12-18,HSE Dublin and South East,215,39,254,7
2023-12-18,HSE Mid West,81,157,238,7
2023-12-18,HSE South West,219,22,241,7
2023-12-18,HSE West and North West,219,160,379,7
2023-12-25,HSE Dublin and Midlands,116,1,117,7
2023-12-25,HSE Dublin and North East,24,0,24,7
2023-12-25,HSE Dublin and South East,87,1,88,7
2023-12-25,HSE Mid West,18,97,115,7
2023-12-25,HSE South West,146,0,146,7
2023-12-25,HSE West and North West,121,35,156,7
2024-01-01,HSE Dublin and Midlands,421,19,440,7
2024-01-01,HSE Dublin and North East,243,5,248,7
2024-01-01,HSE Dublin and South East,145,14,159,7
2024-01-01,HSE Mid West,52,240,292,7
2024-01-01,HSE South West,437,71,508,7
2024-01-01,HSE West and North West,378,194,572,7
2024-01-08,HSE Dublin and Midlands,399,27,426,7
2024-01-08,HSE Dublin and North East,358,8,366,7
2024-01-08,HSE Dublin and South East,208,52,260,7
2024-01-08,HSE Mid West,67,251,318,7
2024-01-08,HSE South West,387,93,480,7
2024-01-08,HSE West and North West,270,210,480,7
2024-01-15,HSE Dublin and Midlands,441,37,478,7
2024-01-15,HSE Dublin and North East,351,18,369,7
2024-01-15,HSE Dublin and South East,276,25,301,7
2024-01-15,HSE Mid West,98,260,358,7
2024-01-15,HSE South West,414,141,555,7
2024-01-15,HSE West and North West,280,133,413,7
2024-01-22,HSE Dublin and Midlands,498,56,554,7
2024-01-22,HSE Dublin and North East,337,12,349,7
2024-01-22,HSE Dublin and South East,256,28,284,7
2024-01-22,HSE Mid West,133,288,421,7
2024-01-22,HSE South West,408,143,551,7
2024-01-22,HSE West and North West,278,239,517,7
2024-01-29,HSE Dublin and Midlands,397,28,425,7
2024-01-29,HSE Dublin and North East,307,18,325,7
2024-01-29,HSE Dublin and South East,254,67,321,7
2024-01-29,HSE Mid West,137,310,447,7
2024-01-29,HSE South West,261,89,350,7
2024-01-29,HSE West and North West,247,220,467,7
2024-02-05,HSE Dublin and Midlands,464,44,508,7
2024-02-05,HSE Dublin and North East,397,4,401,7
2024-02-05,HSE Dublin and South East,328,89,417,7
2024-02-05,HSE Mid West,192,309,501,7
2024-02-05,HSE South West,250,65,315,7
2024-02-05,HSE West and North West,269,242,511,7
2024-02-12,HSE Dublin and Midlands,403,9,412,7
2024-02-12,HSE Dublin and North East,297,8,305,7
2024-02-12,HSE Dublin and South East,325,76,401,7
