region_row,region_col,lag_weeks,ccf_median,ccf_2.5,ccf_97.5
West and North West,Dublin and Midlands,-22,0.0902410994986913,0.037191764005179116,0.13980067806500107
West and North West,Dublin and Midlands,-21,-0.08652102600054425,-0.1288034926220022,-0.040225657818749615
West and North West,Dublin and Midlands,-20,-0.025284752150927292,-0.06529634966126328,0.018100435460539802
West and North West,Dublin and Midlands,-19,-0.14187222668800872,-0.18406891210648477,-0.09570873810613739
West and North West,Dublin and Midlands,-18,0.06145682281516026,0.026711326542062312,0.08961692590035308
West and North West,Dublin and Midlands,-17,0.0428889383774162,0.005201741300623199,0.07598113651128381
West and North West,Dublin and Midlands,-16,0.007617560825087934,-0.02444892362230682,0.037850330910799236
West and North West,Dublin and Midlands,-15,-0.004561317504336599,-0.03830604972390177,0.02579348380258704
West and North West,Dublin and Midlands,-14,-0.04287965579450061,-0.07320957726035895,-0.011981225259601377
West and North West,Dublin and Midlands,-13,0.04107974064526216,0.014120107329724194,0.0657891365516936
West and North West,Dublin and Midlands,-12,-0.08182657551299594,-0.11037942460254789,-0.04927942758993734
West and North West,Dublin and Midlands,-11,0.007751744624019344,-0.02342592549887543,0.039641635241590374
West and North West,Dublin and Midlands,-10,0.09603014084976078,0.061535373453185806,0.12808231159316477
West and North West,Dublin and Midlands,-9,0.08659966605217717,0.05106899274515785,0.1182647953000662
West and North West,Dublin and Midlands,-8,-0.038931725897096064,-0.06448382493544624,-0.012027052862579218
West and North West,Dublin and Midlands,-7,0.001572795903823651,-0.033482585552496044,0.03754964165989894
West and North West,Dublin and Midlands,-6,0.17663764923931446,0.1449697463783177,0.20372106252120278
West and North West,Dublin and Midlands,-5,0.006245681867732457,-0.028885509980637596,0.0422341472821105
West and North West,Dublin and Midlands,-4,0.16074593056581438,0.12652652467630135,0.1891626027798725
West and North West,Dublin and Midlands,-3,-0.11338762881647174,-0.1529711459780384,-0.07633331692482422
West and North West,Dublin and Midlands,-2,0.009050560356586594,-0.03895967610994707,0.056734916909007053
West and North West,Dublin and Midlands,-1,-0.0006244906683918507,-0.04068712187029434,0.036462237322352535
West and North West,Dublin and Midlands,0,0.358816185939384,0.3186428958006638,0.3817886931112391
West and North West,Dublin and Midlands,1,-0.09597168281101337,-0.1325675163801356,-0.05548243374998051
West and North West,Dublin and Midlands,2,-0.017979001409972387,-0.057754796245619064,0.023489159988703937
West and North West,Dublin and Midlands,3,0.06653584636383196,0.034930419779612455,0.09395572285193292
West and North West,Dublin and Midlands,4,-0.017225843478900382,-0.05435595230103941,0.01760888678853656
West and North West,Dublin and Midlands,5,0.017196121148162588,-0.01612704240808571,0.05065408735776191
West and North West,Dublin and Midlands,6,-0.004049328106435999,-0.03327622081993096,0.028056607236486036
West and North West,Dublin and Midlands,7,0.06547082746782938,0.03405883586994963,0.09398994996139293
West and North West,Dublin and Midlands,8,-0.03015174226139622,-0.05838627493455287,-0.002543596682348308
West and North West,Dublin and Midlands,9,0.09555947229789286,0.06381001013432668,0.12492760576055412
West and North West,Dublin and Midlands,10,-0.0480555525228388,-0.07839864210892428,-0.013632548830833627
West and North West,Dublin and Midlands,11,0.05279544067757532,0.025578885599681075,0.07674830523791906
West and North West,Dublin and Midlands,12,0.007499476798962253,-0.02232919239516842,0.0362420250121268
West and North West,Dublin and Midlands,13,-0.06509942795130261,-0.1052334566494334,-0.027092415547560447
West and North West,Dublin and Midlands,14,0.04440630119821948,0.008862441488644365,0.07664259876174451
West and North West,Dublin and Midlands,15,0.008931777201742847,-0.023383700756359083,0.04007774866422477
West and North West,Dublin and Midlands,16,0.17132630004796612,0.142224594080202,0.19502693528431356
West and North West,Dublin and Midlands,17,-0.02358753713442637,-0.05031711166956608,0.003086401848661786
West and North West,Dublin and Midlands,18,0.05225956109735174,0.026988944227138854,0.07709250401131296
West and North West,Dublin and Midlands,19,-0.09312969796345029,-0.12167499050370066,-0.06171935375461071
West and North West,Dublin and Midlands,20,0.08132630002570723,0.04568713123408017,0.11151949735792589
West and North West,Dublin and Midlands,21,0.06765946166822746,0.031164589619651954,0.10163535609104257
West and North West,Dublin and Midlands,22,0.03067674537972718,-0.0024673499202536417,0.06197273634925688
West and North West,Dublin and Midlands,23,-0.006513431902220495,-0.04080139343032107,0.029491379637600207
West and North West,Dublin and Midlands,24,0.002632989276417767,-0.040108999182818586,0.046775951336334415
West and North West,Dublin and Midlands,25,0.10983328928631805,0.06795193449086277,0.14892598263415158
West and North West,Dublin and Midlands,26,0.15082677456536653,0.10938764609900162,0.18923470855110563
West and North West,Dublin and North East,-26,-0.163403262989804,-0.19818793851878386,-0.1257070927638969
West and North West,Dublin and North East,-25,-0.059696599253067244,-0.09905030653423846,-0.021261981649385402
West and North West,Dublin and North East,-24,0.10467723518911387,0.06780825782746823,0.1356212842989711
West and North West,Dublin and North East,-23,-0.06531165280432236,-0.09442694289590639,-0.03783660982647036
West and North West,Dublin and North East,-22,-0.006064302753950049,-0.05268731644798428,0.04417689637078881
West and North West,Dublin and North East,-21,-0.0203805090746305,-0.06442900672659367,0.022962643796797164
West and North West,Dublin and North East,-20,0.04105460542667068,-0.002464460197339048,0.08193552222686204
West and North West,Dublin and North East,-19,-0.20119176771689773,-0.24228787505677915,-0.15594416359327312
West and North West,Dublin and North East,-18,0.14729448464740397,0.12049118575395597,0.1704561188794836
West and North West,Dublin and North East,-17,0.07151546242920903,0.04113081964447968,0.1022224207094119
West and North West,Dublin and North East,-16,-0.04087534449423,-0.0707877290268489,-0.013918450045969597
West and North West,Dublin and North East,-15,-0.09905559666289909,-0.12592680215042526,-0.06937884978331517
West and North West,Dublin and North East,-14,-0.0607084038940288,-0.08755094442801814,-0.030832716196162405
West and North West,Dublin and North East,-13,0.0378894649163392,0.010800535251272317,0.06465564818379733
West and North West,Dublin and North East,-12,0.018329645112854055,-0.007048588995998477,0.042172174308209374
West and North West,Dublin and North East,-11,0.11216141141806885,0.08334920589393251,0.13606165767713616
West and North West,Dublin and North East,-10,-0.06808041725191785,-0.09159314054935722,-0.04270032295473427
West and North West,Dublin and North East,-9,-0.022669297008635705,-0.04703006099875926,0.0031057694628066766
West and North West,Dublin and North East,-8,-0.15441375699326917,-0.17288016551438637,-0.12879720963386992
West and North West,Dublin and North East,-7,0.08543256775391286,0.052760509773507845,0.1152482047212046
West and North West,Dublin and North East,-6,-0.004031974853631576,-0.027116746364816067,0.021242919827680146
West and North West,Dublin and North East,-5,-0.1320780893196642,-0.15146866787288676,-0.10627922420517891
West and North West,Dublin and North East,-4,0.069137806602082,0.04571803438085601,0.09281828030038065
West and North West,Dublin and North East,-3,0.11523820845759442,0.07994553167977982,0.14421948361079706
West and North West,Dublin and North East,-2,-0.11546270372086602,-0.1534027133980275,-0.0696350129516018
West and North West,Dublin and North East,-1,-0.12430455552157688,-0.15517945117957482,-0.08832714880952233
West and North West,Dublin and North East,0,0.32842556606993545,0.29050278943341706,0.3558221025237635
West and North West,Dublin and North East,1,-0.03278371739057169,-0.0713755559595723,0.0029265477151313745
West and North West,Dublin and North East,2,-0.061628707882045324,-0.11055841589977779,-0.010573864376245424
West and North West,Dublin and North East,3,-0.03920191743514201,-0.071281306246445,-0.005696907331443625
West and North West,Dublin and North East,4,-0.0032648141659203547,-0.0359608178002717,0.03127210202233241
West and North West,Dublin and North East,5,-0.022490842756066318,-0.05562759993011917,0.012339992554753133
West and North West,Dublin and North East,6,-0.027541327227899245,-0.05743584562196651,0.003879686439106146
West and North West,Dublin and North East,7,-0.09690062874250108,-0.15256369863707386,-0.0365534691615448
West and North West,Dublin and North East,8,-0.0558445091753637,-0.09775993501700504,-0.014726993139397316
West and North West,Dublin and North East,9,-0.009384281489174638,-0.057074263953233124,0.03901802815477573
West and North West,Dublin and North East,10,-0.035609303486205106,-0.0732006219003391,0.0025907167603285174
West and North West,Dublin and North East,11,0.020076679247087344,-0.015192622263230749,0.05442288516463836
West and North West,Dublin and North East,12,-0.13782848060277075,-0.16995787337669044,-0.10216022149015908
West and North West,Dublin and North East,13,-0.10389098037931227,-0.13753282696544797,-0.06584673817965793
West and North West,Dublin and North East,14,0.039789690587208854,0.0019582712345075715,0.07940670046237923
West and North West,Dublin and North East,15,-0.11026700028060438,-0.1473429796455275,-0.07062152051181016
West and North West,Dublin and North East,16,-0.11574580463141917,-0.1461866345509417,-0.08230014024975274
West and North West,Dublin and North East,17,-5.018988855641754e-05,-0.032164860691480966,0.0326818710431571
West and North West,Dublin and North East,18,0.010982660151387536,-0.012071812080143886,0.035794045770969715
West and North West,Dublin and North East,19,-0.008741634316580742,-0.03505284507010931,0.01618960677083965
West and North West,Dublin and North East,20,0.09062869752005137,0.05293193938859744,0.12665650712987042
West and North West,Dublin and North East,21,-0.012764867459034473,-0.05062605416325291,0.023025786718454844
West and North West,Dublin and North East,22,-0.04372572415910846,-0.07094023808202628,-0.01585222593279019
West and North West,Dublin and North East,23,-0.040053954604757525,-0.07064563471965858,-0.012119152891107739
West and North West,Dublin and North East,24,-0.00034719820741902375,-0.035532574783136504,0.03539530382803691
West and North West,Dublin and North East,25,0.011256379974671448,-0.02501026059377513,0.04405233175908431
West and North West,Dublin and North East,26,-0.024617544048873355,-0.057150572839184066,0.006108530155181428
West and North West,Dublin and South East,-26,0.06320510171276861,0.029698929412879355,0.09616294226122478
West and North West,Dublin and South East,-25,-0.049119748423869514,-0.09129366720936,-0.010627721109959578
West and North West,Dublin and South East,-24,0.028235672127537102,-0.005171013824604589,0.0612754566055326
West and North West,Dublin and South East,-23,-0.0267876331324928,-0.05627549247699046,0.0038453304214785366
West and North West,Dublin and South East,-22,-0.014262803093261524,-0.06179074309863578,0.037418549794038275
West and North West,Dublin and South East,-21,-0.06710153690726485,-0.10485490775075713,-0.025290832606427213
West and North West,Dublin and South East,-20,0.07603358941178703,0.035502058415187186,0.11266963608418426
West and North West,Dublin and South East,-19,0.01976445472653014,-0.020097794794583106,0.05995226555910975
West and North West,Dublin and South East,-18,0.005426195597815807,-0.01805575611718642,0.030532304375342184
West and North West,Dublin and South East,-17,-0.01362511822809442,-0.04384869989676525,0.017180106691883558
West and North West,Dublin and South East,-16,0.036743132232592776,0.006932756007482386,0.06536275286454313
West and North West,Dublin and South East,-15,0.002585689600439775,-0.02738242213961741,0.03545289152210242
West and North West,Dublin and South East,-14,-0.05874190765275522,-0.08855184171954734,-0.02444333498379867
West and North West,Dublin and South East,-13,0.08530685809021427,0.05328166389199704,0.11211806175683697
West and North West,Dublin and South East,-12,0.07071599357291869,0.047644177375742655,0.09171996901009447
West and North West,Dublin and South East,-11,-0.08548538395891159,-0.1099982352396558,-0.06027690198222531
West and North West,Dublin and South East,-10,-0.09768475149627787,-0.11966623784657844,-0.07358487822160649
West and North West,Dublin and South East,-9,0.11831475648226158,0.08468867780723362,0.1489754873287399
West and North West,Dublin and South East,-8,0.02547311872196399,-0.005826213495138021,0.0556983355426653
West and North West,Dublin and South East,-7,0.0403595425764512,0.0006772761032322421,0.07646458520267542
West and North West,Dublin and South East,-6,0.024790532729713377,-0.011564457469548584,0.0598566033332033
West and North West,Dublin and South East,-5,0.023177908502231562,-0.008309273972836581,0.05336627386033501
West and North West,Dublin and South East,-4,-0.018651834737146624,-0.049537070638019765,0.01387857724572431
West and North West,Dublin and South East,-3,0.01008849183781222,-0.03273755034213907,0.04946562637120329
West and North West,Dublin and South East,-2,0.0790929407091567,0.03595559259662023,0.1226718529230928
West and North West,Dublin and South East,-1,0.07796382139299518,0.03769248497539465,0.11341183737792011
West and North West,Dublin and South East,0,0.20808497826931616,0.17212571889887274,0.2373440282052946
West and North West,Dublin and South East,1,-0.0058408120407090905,-0.05047030865270691,0.037436858737293154
West and North West,Dublin and South East,2,0.09494737694406905,0.04203759881618612,0.14651147012039537
West and North West,Dublin and South East,3,-0.09349888251279743,-0.1285535184769406,-0.05774422836871405
West and North West,Dublin and South East,4,-0.018625773764340464,-0.059677857041170325,0.025291655389047058
West and North West,Dublin and South East,5,0.04671891535018172,-0.00441580990612126,0.09435695758205896
West and North West,Dublin and South East,6,0.03681680497651543,-0.008339377988831087,0.07779156050645826
West and North West,Dublin and South East,7,-0.15214611881277634,-0.1908597599770981,-0.11029664460608167
West and North West,Dublin and South East,8,0.0470931579571045,0.011521193125171908,0.07844770783144818
West and North West,Dublin and South East,9,0.08648007533713156,0.05674442670588699,0.11387542284780484
West and North West,Dublin and South East,10,-0.03305087617409875,-0.05564210020507851,-0.008086639017368478
West and North West,Dublin and South East,11,-0.033089045155417225,-0.05681194647404531,-0.011205995095373261
West and North West,Dublin and South East,12,0.07813236477991567,0.054535285813134625,0.09731511188193627
West and North West,Dublin and South East,13,-0.033871751533645744,-0.06128311378350377,-0.005373256036188899
West and North West,Dublin and South East,14,-0.02616177253702407,-0.06015012098876852,0.0059719301799806435
West and North West,Dublin and South East,15,-0.024546033624418206,-0.05032730862298947,0.0020566866176546885
West and North West,Dublin and South East,16,0.06510940984957544,0.03945077095665792,0.08857110961598606
West and North West,Dublin and South East,17,0.03635012182875622,0.006181837531536358,0.0627626842828695
West and North West,Dublin and South East,18,0.018632152352584697,-0.012022540183722352,0.049195574814274785
West and North West,Dublin and South East,19,-0.03190456324505005,-0.06395514705094303,0.0009979174869057016
West and North West,Dublin and South East,20,0.07182742046524387,0.03244975737197285,0.10738893414812423
West and North West,Dublin and South East,21,-0.09545336401144486,-0.12965086960629618,-0.05916022140170737
West and North West,Dublin and South East,22,-0.008885033189937759,-0.04034904328058136,0.0216084643516414
West and North West,Dublin and South East,23,0.059929869020477713,0.030206674309023712,0.08709374088932234
