,Date,Region,Value
169,2023-01-29,HSE Dublin and North East,0.11793625040224685
170,2023-01-29,HSE Dublin and South East,0.483990719735391
171,2023-01-29,HSE Mid West,0.38735386470213695
172,2023-01-29,HSE South West,0.7291247532452803
173,2023-01-29,HSE West and North West,0.6713600438095338
174,2023-01-30,HSE Dublin and Midlands,0.7330840847445202
175,2023-01-30,HSE Dublin and North East,0.2779925902338676
176,2023-01-30,HSE Dublin and South East,0.6281581681672095
177,2023-01-30,HSE Mid West,0.6778692632287397
178,2023-01-30,HSE South West,0.7831339942264122
179,2023-01-30,HSE West and North West,0.8556549577964647
180,2023-01-31,HSE Dublin and Midlands,0.8073204477566235
181,2023-01-31,HSE Dublin and North East,0.3201126796632415
182,2023-01-31,HSE Dublin and South East,0.5354790941753262
183,2023-01-31,HSE Mid West,0.7262884963165069
184,2023-01-31,HSE South West,0.837143235207544
185,2023-01-31,HSE West and North West,0.8161631905135509
186,2023-02-01,HSE Dublin and Midlands,0.751643175497546
187,2023-02-01,HSE Dublin and North East,0.30326464389149194
188,2023-02-01,HSE Dublin and South East,0.6487535179431836
189,2023-02-01,HSE Mid West,0.7989173459481574
190,2023-02-01,HSE South West,0.9316594069245248
191,2023-02-01,HSE West and North West,1.3032283203361539
192,2023-02-02,HSE Dublin and Midlands,0.760922720874059
193,2023-02-02,HSE Dublin and North East,0.26114455446211804
194,2023-02-02,HSE Dublin and South East,0.5354790941753261
195,2023-02-02,HSE Mid West,0.8957558121236917
196,2023-02-02,HSE South West,0.9721663376603737
197,2023-02-02,HSE West and North West,1.000458104500482
198,2023-02-03,HSE Dublin and Midlands,0.7609227208740589
199,2023-02-03,HSE Dublin and North East,0.3201126796632415
200,2023-02-03,HSE Dublin and South East,0.4428000201834428
201,2023-02-03,HSE Mid West,0.9441750452114589
202,2023-02-03,HSE South West,0.7561293737358462
203,2023-02-03,HSE West and North West,1.0662777166386714
204,2023-02-04,HSE Dublin and Midlands,0.4175795419430811
205,2023-02-04,HSE Dublin and North East,0.1010882146304973
206,2023-02-04,HSE Dublin and South East,0.1029767488798704
207,2023-02-04,HSE Mid West,0.5568211805093218
208,2023-02-04,HSE South West,0.44557623809433794
209,2023-02-04,HSE West and North West,0.5397208195331546
210,2023-02-05,HSE Dublin and Midlands,0.2598272705423616
211,2023-02-05,HSE Dublin and North East,0.14320830405987117
212,2023-02-05,HSE Dublin and South East,0.33982327130357237
213,2023-02-05,HSE Mid West,0.7262884963165069
214,2023-02-05,HSE South West,0.445576238094338
215,2023-02-05,HSE West and North West,0.5002290522502408
216,2023-02-06,HSE Dublin and Midlands,0.3990204511900553
217,2023-02-06,HSE Dublin and North East,0.14320830405987117
218,2023-02-06,HSE Dublin and South East,0.514883744399352
219,2023-02-06,HSE Mid West,0.8715461955798082
220,2023-02-06,HSE South West,0.6211062712830165
221,2023-02-06,HSE West and North West,0.8161631905135509
222,2023-02-07,HSE Dublin and Midlands,0.7794818116270847
223,2023-02-07,HSE Dublin and North East,0.3622327690926153
224,2023-02-07,HSE Dublin and South East,0.9473860896948078
225,2023-02-07,HSE Mid West,1.1136423610186437
226,2023-02-07,HSE South West,0.5535947200566017
227,2023-02-07,HSE West and North West,1.2110808633426884
228,2023-02-08,HSE Dublin and Midlands,0.8351590838861622
229,2023-02-08,HSE Dublin and North East,0.3032646438914919
230,2023-02-08,HSE Dublin and South East,0.9061953901428597
231,2023-02-08,HSE Mid West,1.0410135113869932
232,2023-02-08,HSE South West,0.7696316839811292
233,2023-02-08,HSE West and North West,1.1452612512044988
234,2023-02-09,HSE Dublin and Midlands,1.1321045359345754
235,2023-02-09,HSE Dublin and North East,0.3032646438914919
236,2023-02-09,HSE Dublin and South East,0.751730266823054
237,2023-02-09,HSE Mid West,1.0168038948431095
238,2023-02-09,HSE South West,0.4860831688301869
239,2023-02-09,HSE West and North West,0.8556549577964647
240,2023-02-10,HSE Dublin and Midlands,0.872277265392214
241,2023-02-10,HSE Dublin and North East,0.26114455446211804
242,2023-02-10,HSE Dublin and South East,0.5251814192873391
243,2023-02-10,HSE Mid West,1.1136423610186437
244,2023-02-10,HSE South West,0.39156699711320603
245,2023-02-10,HSE West and North West,0.6713600438095338
246,2023-02-11,HSE Dublin and Midlands,0.4918159049551844
247,2023-02-11,HSE Dublin and North East,0.16005633983162074
248,2023-02-11,HSE Dublin and South East,0.28833489686363717
249,2023-02-11,HSE Mid West,0.5568211805093218
250,2023-02-11,HSE South West,0.445576238094338
251,2023-02-11,HSE West and North West,0.39491767282913753
252,2023-02-12,HSE Dublin and Midlands,0.7423636301210331
253,2023-02-12,HSE Dublin and North East,0.22744848291861897
254,2023-02-12,HSE Dublin and South East,0.3913116457435076
255,2023-02-12,HSE Mid West,0.7262884963165069
256,2023-02-12,HSE South West,0.5400924098113187
257,2023-02-12,HSE West and North West,0.6055404316713442
258,2023-02-13,HSE Dublin and Midlands,1.1692227174406271
259,2023-02-13,HSE Dublin and North East,0.36223276909261537
260,2023-02-13,HSE Dublin and South East,0.7517302668230541
261,2023-02-13,HSE Mid West,1.0410135113869932
262,2023-02-13,HSE South West,0.8371432352075441
263,2023-02-13,HSE West and North West,0.9083106475070164
264,2023-02-14,HSE Dublin and Midlands,0.9650727191573429
265,2023-02-14,HSE Dublin and North East,0.412776876407864
266,2023-02-14,HSE Dublin and South East,0.6281581681672095
267,2023-02-14,HSE Mid West,1.1862712106502944
268,2023-02-14,HSE South West,0.7831339942264122
269,2023-02-14,HSE West and North West,0.9609663372175681
270,2023-02-15,HSE Dublin and Midlands,0.7609227208740589
271,2023-02-15,HSE Dublin and North East,0.4380489300654883
272,2023-02-15,HSE Dublin and South East,0.6590511928311706
273,2023-02-15,HSE Mid West,0.9925942782992261
274,2023-02-15,HSE South West,1.0801848196226373
275,2023-02-15,HSE West and North West,1.2637365530532403
276,2023-02-16,HSE Dublin and Midlands,0.8908363561452397
277,2023-02-16,HSE Dublin and North East,0.6570733950982325
278,2023-02-16,HSE Dublin and South East,0.5457767690633132
279,2023-02-16,HSE Mid West,0.9683846617553424
280,2023-02-16,HSE South West,0.9451617171698077
281,2023-02-16,HSE West and North West,1.2110808633426884
282,2023-02-17,HSE Dublin and Midlands,0.7609227208740589
283,2023-02-17,HSE Dublin and North East,0.716041520299356
284,2023-02-17,HSE Dublin and South East,0.6693488677191577
285,2023-02-17,HSE Mid West,1.1378519775625273
286,2023-02-17,HSE South West,0.7426270634905632
